IR_PARAMETER_DESC,PARENT_CATEGORY,SUB_CATEGORY
Lindane/gamma-Hexachlorocyclohexane (gamma-HCH) (tissue),Other,Other
"Selenium, Total",Metals,Selenium
Nutrients (Algae),Nutrients,Algae and other Nutrient-related
"Zinc, Dissolved",Metals,Zinc
Swimming Restrictions,Other,Other
Pathogens,Pathogens,Pathogens
Low Dissolved Oxygen,Nutrients,Dissolved Oxygen
Azinphos-methyl (Guthion),Toxic Organics,Toxic Organics
Salinity,Solids,Dissolved Solids
Electrical Conductivity,Solids,Dissolved Solids
Group A Pesticides,Toxic Organics,Toxic Organics
Trifluralin,Toxic Organics,Toxic Organics
Alkalinity as CaCO3,pH,alkalinity
Metolachlor,Toxic Organics,Toxic Organics
alpha.-BHC (Benzenehexachloride or alpha-HCH),Other,Other
Diuron,Toxic Organics,Toxic Organics
Simazine,Toxic Organics,Toxic Organics
cis-permethrin,Toxic Organics,Toxic Organics
Benzo[b]fluoranthene,Toxic Organics,Toxic Organics
pH (low),pH,pH
"Nitrogen, ammonia (Total Ammonia)",Nutrients,Nitrogen
Benzo[k]fluoranthene,Toxic Organics,Toxic Organics
"Indeno[1,2,3-cd]pyrene",Toxic Organics,Toxic Organics
"Ammonia as N, Total",Nutrients,Nitrogen
Hexachlorobenzene/ HCB,Toxic Organics,Toxic Organics
Paraquat,Toxic Organics,Toxic Organics
Acid Mine Drainage,Uncategorized,Uncategorized
"BOD, Biochemical oxygen demand",Organics,COD
Ammonia (Unionized),Nutrients,Nitrogen
Pentachlorophenol (PCP),Toxic Organics,Toxic Organics
Methyl Parathion,Toxic Organics,Toxic Organics
Fluoride,Solids,Dissolved Solids
Unknown Toxicity,Aquatic Toxicity,Aquatic Toxicity
Total Kjeldahl Nitrogen (TKN),Nutrients,Nitrogen
Phosphate,Nutrients,Phosphorus
Trace Elements,Other,Other
Total Nitrogen as N,Nutrients,Nitrogen
Total Petroleum Hydrocarbons,Other,Fuel
Naphthalene,Toxic Organics,Toxic Organics
Chemical oxygen demand (COD),Organics,COD
Total Suspended Solids (TSS),Solids,Suspended Solids
Noxious aquatic plants,Other,Other
Color,Color and Turbidity,Color
Ammonia as Nitrogen,Nutrients,Nitrogen
Sediment Toxicity,Solids,Suspended Solids
Perchlorate,Toxic Organics,Toxic Organics
Dichlorvos,Toxic Organics,Toxic Organics
"1,4-Dioxane",Toxic Organics,Toxic Organics
Tetrachloroethylene/PCE,Toxic Organics,Toxic Organics
Trichloroethylene/TCE,Toxic Organics,Toxic Organics
Fenpyroximate,Toxic Organics,Toxic Organics
Solids,Solids,Suspended Solids
Surfactants (MBAS),Toxic Organics,Toxic Organics
Synthetic Organics,Organics,Other Organics
Thallium,Metals,Thallium
PAHs (Polycyclic Aromatic Hydrocarbons) (sediment),Toxic Organics,Toxic Organics
Pesticides (sediment),Toxic Organics,Toxic Organics
"Permethrin, total",Toxic Organics,Toxic Organics
Mercury (tissue),Metals,Mercury
Chlordane (sediment),Toxic Organics,Toxic Organics
Propanil (DCPA mono- and di-acid degrad),Toxic Organics,Toxic Organics
Aldicarb,Toxic Organics,Toxic Organics
"Produced water, gross alpha radiation",Other,Other
"Produced water, gross beta radiation",Other,Other
"Produced water, toxicity",Aquatic Toxicity,Aquatic Toxicity
"Produced water, Radium 226, total",Other,Radiation
"Produced water, Radium 228, total",Other,Radiation
Produced water toxicity 7 day noec,Aquatic Toxicity,Aquatic Toxicity
Bioaccumulation testing performed,Metals,Tin
"Butyl, 5-benzotriazole, total",Toxic Organics,Toxic Organics
"Chromium, trivalent total recoverable",Metals,Chromium
"Chronic toxicity, daphnia magnia 21 dy",Aquatic Toxicity,Aquatic Toxicity
"Seafood production, effluent # day/mo",Other,Other
"RCRA/CERCLA substances, 40 CFR 261 subp c",Uncategorized,Uncategorized
"Bisazer, total, water, ug/L",Uncategorized,Uncategorized
Dicrotophos,Uncategorized,Uncategorized
"Drilling fluid, end of well, 96-hr LC50",Other,Other
"Drilling fluid, toxicity",Other,Other
"Sum BOD and ammonia, water",Organics,COD
"Well fluids, oil & grease",Other,Fuel
"1,2-Dichloro-1,2-difluoroethane",Toxic Organics,Toxic Organics
Thermal efficiency,Temperature,Temperature
Diquat,Uncategorized,Uncategorized
"Organics, gasoline range",Other,Fuel
"Gamma, total",Other,Radiation
"Gamma, total counting error",Other,Radiation
"Tritium, total",Other,Radiation
"Tritium, total counting error [pc/L]",Other,Radiation
"Tritium, total net increase H-3 units",Other,Radiation
"Radium 226, total",Other,Radiation
"Radium 226, dissolved",Other,Radiation
"Manganese, total recoverable",Metals,Manganese
"Radium 226 & 228, dissolved",Other,Radiation
"Radium 228, total",Other,Radiation
"Radium 226 + radium 228, total",Other,Radiation
"Strontium 90, total",Other,Radiation
"Lead 210, total",Metals,Lead
Iodine 129,Uncategorized,Uncategorized
Total polonium,Uncategorized,Uncategorized
Polonium 210,Uncategorized,Uncategorized
"Radium 223, total",Other,Radiation
"Technetium 99, total [14]",Uncategorized,Uncategorized
"Aluminum chloride, dissolved, water",Metals,Aluminum
Octachlorostyrene,Toxic Organics,Toxic Organics
"Tris[2,3-dibromo- propyl] phosphate",Toxic Organics,Toxic Organics
Whole effluent toxicity,Aquatic Toxicity,Aquatic Toxicity
Whole effluent toxicity - retest #1,Aquatic Toxicity,Aquatic Toxicity
Whole effluent toxicity - retest #2,Aquatic Toxicity,Aquatic Toxicity
Methyl tert-butyl ether [MTBE],Toxic Organics,Toxic Organics
"WET, sublethal retest #1",Uncategorized,Uncategorized
"WET, sublethal retest #2",Uncategorized,Uncategorized
Methoxypropylamine,Toxic Organics,Toxic Organics
Polynuclear Aromatic Hydrocarbons [PAHs],Toxic Organics,Toxic Organics
Thorium [Thorium-232],Metals,Thorium
"Uranium 238, total",Metals,Uranium
"Uranium 235, total",Metals,Uranium
"Arsenic, trivalent dissolved",Metals,Arsenic
"Uranium, dissolved",Metals,Uranium
"Uranium, total as U3O8",Metals,Uranium
"Uranium, total",Metals,Uranium
"Radium 224, total",Other,Radiation
Actinium 227,Metals,Tin
Thorium 230,Metals,Thorium
Thorium 232 pci/g of dry solids,Metals,Thorium
"Uranium, total [in pci/L]",Metals,Uranium
"Cerium, total",Uncategorized,Uncategorized
"Chromium, trivalent in bottom deposits",Metals,Chromium
"Chromium, hexavalent in bot dep [dry wt]",Metals,Chromium
"Phosphorous 32, total",Uncategorized,Uncategorized
Fensulfothion,Uncategorized,Uncategorized
Fenthion,Uncategorized,Uncategorized
Merphos,Uncategorized,Uncategorized
Benzyl chloride,Toxic Organics,Toxic Organics
Dichloroprop,Uncategorized,Uncategorized
Dinoseb,Uncategorized,Uncategorized
MCPA,Uncategorized,Uncategorized
MCPP,Uncategorized,Uncategorized
Terbacil,Toxic Organics,Toxic Organics
Hexazinone,Toxic Organics,Toxic Organics
Bromacil,Toxic Organics,Toxic Organics
"1,2,3,7,8-Pentachlorodibenzo-p-dioxin",Toxic Organics,Toxic Organics
"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",Toxic Organics,Toxic Organics
"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin",Toxic Organics,Toxic Organics
4-Bromophenyl phenyl ether,Toxic Organics,Toxic Organics
Dewatering effluent chlorides tidal,Other,Other
Dewatering effluent COD,Organics,COD
Dewatering effluent free oil,Other,Fuel
Dewatering effluent oil & grease,Other,Fuel
Dewatering effluent pH,pH,pH
Dewatering effluent TDS,Solids,Dissolved Solids
Dewatering effluent TSS,Solids,Suspended Solids
"Flow, as a portion of stream flow",Flow,Flow
Acetonitrile,Toxic Organics,Toxic Organics
Total Organic Carbon % Removal,Organics,Other Organics
"Oil & grease, non-polar material",Other,Fuel
"Flow, return factor",Flow,Flow
Endothall,Nutrients,Dissolved Oxygen
Sulfide-hydrogen sulfide [undissociated],Inorganics,Toxic Inorganics
2-Chlorobenzene,Toxic Organics,Toxic Organics
Di[2-ethylhexyl] phthalate [DEHP],Toxic Organics,Toxic Organics
Octylphenol,Toxic Organics,Toxic Organics
p-Phenolsulfonic acid,Toxic Organics,Toxic Organics
m-Benzenedisulfonic acid,Toxic Organics,Toxic Organics
Area of disposal-used,Uncategorized,Uncategorized
Bicarbonate as [CaCO3],Organics,COD
Thionazin,Uncategorized,Uncategorized
Leptophos,Uncategorized,Uncategorized
Fenitrothion,Uncategorized,Uncategorized
Aspon,Uncategorized,Uncategorized
Monocrotophos,Uncategorized,Uncategorized
Dichlofenthion,Uncategorized,Uncategorized
DMR submitted,Uncategorized,Uncategorized
"Zinc, percent removal",Metals,Zinc
"Copper, percent removal",Metals,Copper
"Cadmium, percent removal",Metals,Cadmium
"Solids, total suspd. non-volatile",Toxic Organics,Toxic Organics
Excess thermal load,Temperature,Temperature
Carbonate ion [as CaCO3],Organics,COD
Rainfall events,Other,Other
"Flow, total",Flow,Flow
Azide,Uncategorized,Uncategorized
Ethoxyquin,Uncategorized,Uncategorized
Freeboard,Uncategorized,Uncategorized
Furans,Toxic Organics,Toxic Organics
"Halogens, total combined",Uncategorized,Uncategorized
Infiltration capacity,Uncategorized,Uncategorized
Mix ratio,Uncategorized,Uncategorized
Moisture content,Uncategorized,Uncategorized
Number of operating tubes,Metals,Tin
Octachlorodibenzo-p-dioxin,Toxic Organics,Toxic Organics
Octachlorodibenzofuran,Toxic Organics,Toxic Organics
Oil & grease [polar],Other,Fuel
"Organics, total halogens [TOX]",Organics,Other Organics
"Pentachlorophenol, removal efficiency",Toxic Organics,Toxic Organics
"Pressure, casing",Uncategorized,Uncategorized
Rovral,Uncategorized,Uncategorized
"Solids, total suspended, loading rate",Solids,Suspended Solids
"Solids, total dissolved [inorganic]",Solids,Suspended Solids
SOPP,Solids,Dissolved Solids
"SOPP, loading rate",Solids,Dissolved Solids
Tebuconazole,Toxic Organics,Toxic Organics
Technetium-99,Uncategorized,Uncategorized
"Temperature, background",Temperature,Temperature
Tetramethyl ammonium hydroxide,Toxic Organics,Toxic Organics
Thiabendazole,Toxic Organics,Toxic Organics
Thiobendazole,Toxic Organics,Toxic Organics
Topsin,Uncategorized,Uncategorized
Total Petroleum Hydrocarbons - Diesel,Other,Other
Total Petroleum Hydrocarbons - Gasoline,Other,Fuel
Total water accumulations,Uncategorized,Uncategorized
Total water irrigated,Uncategorized,Uncategorized
"Turbidity, background",Color and Turbidity,Turbidity
"Turbidity, change",Color and Turbidity,Turbidity
"Turbidity, increase over background",Color and Turbidity,Turbidity
Volume of injected wastewater,Uncategorized,Uncategorized
Volume,Uncategorized,Uncategorized
"Volume, daily",Uncategorized,Uncategorized
Water usage,Uncategorized,Uncategorized
"Algae, total [cells/mL]",Nutrients,Algae and other Nutrient-related
"3,4,6-Trichloroguaiacol, total",Uncategorized,Uncategorized
"2,4,5-Trichlorophenol",Toxic Organics,Toxic Organics
"3,4,5-Trichloroguaiacol",Uncategorized,Uncategorized
"3,4,6-Trichlorocatechol",Uncategorized,Uncategorized
"2,3,4,5-Tetrachlorophenol",Toxic Organics,Toxic Organics
"1,1-Dichloroethene",Toxic Organics,Toxic Organics
"Propylene glycol, total",Toxic Organics,Toxic Organics
"Protein, crop crude %",Uncategorized,Uncategorized
Crop yield,Uncategorized,Uncategorized
"Debris, floating [severity]",Metals,Tin
Terramycin [1 hour application],pH,pH
Morpholine,Uncategorized,Uncategorized
"Bromacil, lithium",Toxic Organics,Toxic Organics
Bromoxynil octanoate,Toxic Organics,Toxic Organics
Dazomet,Uncategorized,Uncategorized
Nabonate,Uncategorized,Uncategorized
TCMTB,Uncategorized,Uncategorized
Industrial contribution % of influent,Uncategorized,Uncategorized
"Potassium, total [K2O], [water]",Nutrients,Potassium
Chlorinated paraffin in sludge,Inorganics,Disinfectants
"Surface area, square feet",Uncategorized,Uncategorized
"Stock base fluid, PAH",Uncategorized,Uncategorized
"Stock base fluid, sediment toxicity",Solids,Suspended Solids
"Stock base fluid, biodegredation rate",Uncategorized,Uncategorized
"Discharge drill cuttings, sediment toxicity",Metals,Tin
"Discharge drill cuttings, formation oil",Other,Fuel
"Discharge drill cuttings, formation oil cert",Other,Fuel
"Discharge drill cuttings, base fluids retained",Metals,Tin
"Seabed survey, industry wide",Uncategorized,Uncategorized
"Seabed survey, 1st suvey w/i 2 wks",Uncategorized,Uncategorized
"Seabed survey, 2ndsuvey w/i 1 yr",Uncategorized,Uncategorized
"Application rate, daily spray irrigation.",pH,pH
"Application rate, weekly spray irrigation.",pH,pH
"Application rate, rate/area sprayed",pH,pH
Priority pollutant chemical specific,Uncategorized,Uncategorized
"Application rate, gallons spray irrigation",pH,pH
Biosolids weight indluding admixtures,Solids,Suspended Solids
"Viable helminth ova, sludge, dry weight",Uncategorized,Uncategorized
"Fecal coliform in sludge, CFU/gram",Toxic Organics,Toxic Organics
Cyanuric acid,pH,pH
Blend ratio,Uncategorized,Uncategorized
Ametryn,Uncategorized,Uncategorized
Benomyl and carbendazim,Uncategorized,Uncategorized
Bromoxynil,Uncategorized,Uncategorized
Busan 40,Toxic Organics,Toxic Organics
Busan 85,Toxic Organics,Toxic Organics
Chloroneb,Uncategorized,Uncategorized
Chlorothalonil,Uncategorized,Uncategorized
DCPA,Uncategorized,Uncategorized
DEF,Uncategorized,Uncategorized
Dioxathion,Uncategorized,Uncategorized
Endothall salts & esters,Nutrients,Dissolved Oxygen
Fenarimol,Uncategorized,Uncategorized
Fenvalerate,Toxic Organics,Toxic Organics
KN methyl,Toxic Organics,Toxic Organics
"Methamidophos, organic pesticide",Toxic Organics,Toxic Organics
"Nabam, organic pesticide",Uncategorized,Uncategorized
Norflurazon,Uncategorized,Uncategorized
Pentachloronitrobenzene [PCNB],Toxic Organics,Toxic Organics
Pendimethalin,Toxic Organics,Toxic Organics
Phosmet,Uncategorized,Uncategorized
Prometon,Uncategorized,Uncategorized
Pronamide,Uncategorized,Uncategorized
Propachlor,Uncategorized,Uncategorized
Propazine,Toxic Organics,Toxic Organics
Tebuthiuron,Uncategorized,Uncategorized
Terbuthylazine,Toxic Organics,Toxic Organics
"Terbutryn, organic pesticide",Uncategorized,Uncategorized
"Triadimefon, organic pesticide",Uncategorized,Uncategorized
"Ziram, organic pesticide",Uncategorized,Uncategorized
"SAS - 305, total",Uncategorized,Uncategorized
"SAS - 305, total in sludge",Uncategorized,Uncategorized
Operation of turbines,Uncategorized,Uncategorized
Priority pollutants scan [yes/no],Uncategorized,Uncategorized
Hematite Production,Uncategorized,Uncategorized
Filter backwash discharges per day,Uncategorized,Uncategorized
Water softener backwash,Toxic Organics,Toxic Organics
Water backwash,Uncategorized,Uncategorized
"Cyanide, free available",Inorganics,Toxic Inorganics
Di[2-ethylhexyl] adipate,Toxic Organics,Toxic Organics
2-Ethylhexanol,Toxic Organics,Toxic Organics
Surfynol 104E,Uncategorized,Uncategorized
Betzdearborn DG5671,Uncategorized,Uncategorized
Nonyl phenoxypoly ethanol,Uncategorized,Uncategorized
Polyethylene glycol,Toxic Organics,Toxic Organics
"O,O-Diethyl S-methyl dithiophosphate",Toxic Organics,Toxic Organics
Glycol mix applied,Uncategorized,Uncategorized
Production divided by days operated mo.,Uncategorized,Uncategorized
Ethyl mercaptan,Toxic Organics,Toxic Organics
Acetophene,Toxic Organics,Toxic Organics
"Produced water, TDS",Solids,Dissolved Solids
"Oxygen demand, nitrogenous, ultimate",Nutrients,Nitrogen
"Free oil, dewatering effluent",Other,Fuel
"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",Toxic Organics,Toxic Organics
"1,2,3,7,8-Pentachlorodibenzofuran",Toxic Organics,Toxic Organics
"2,3,4,7,8-Pentachlorodibenzofuran",Toxic Organics,Toxic Organics
"1,2,3,4,7,8-Hexachlorodibenzofuran",Toxic Organics,Toxic Organics
"1,2,3,6,7,8-Hexachlorodibenzofuran",Toxic Organics,Toxic Organics
"1,2,3,7,8,9-Hexachlorodibenzofuran",Toxic Organics,Toxic Organics
"2,3,4,6,7,8-Hexachlorodibenzofuran",Toxic Organics,Toxic Organics
"1,2,3,4,6,7,8-Heptachlorodibenzofuran",Toxic Organics,Toxic Organics
"1,2,3,4,7,8,9-Heptachlorodibenzofuran",Toxic Organics,Toxic Organics
"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",Toxic Organics,Toxic Organics
"2,3,7,8-TCDF, sed.",Uncategorized,Uncategorized
"Benzene, ethylbenzene, toluene, xylene combination",Toxic Organics,Toxic Organics
"Chlorosyringaldehyde, effluent",Toxic Organics,Toxic Organics
"Coliform, fecal - % samples exceeding limit",Toxic Organics,Toxic Organics
"Coliform, total MF, immed, m-endo med 35 C",Toxic Organics,Toxic Organics
"Coliform, total 10/mL",Toxic Organics,Toxic Organics
"Coliform, total MF, delayed, m-endo med",Toxic Organics,Toxic Organics
"Coliform, total MF, immed, les endo agar",Toxic Organics,Toxic Organics
"Coliform, tot, MPN, completed, [100 mL]",Toxic Organics,Toxic Organics
"Coliform, fecal 10/mL",Toxic Organics,Toxic Organics
"Coliform, fecal MF, MFC agar, 44.5 C, 24hr",Toxic Organics,Toxic Organics
"Fecal coliform, MPN, EC med, 44.5 C",Toxic Organics,Toxic Organics
"Coliform, fecal MF, MFC broth, 44.5 C",Toxic Organics,Toxic Organics
"Coliform, fecal MF, MFC, 0.7um",Toxic Organics,Toxic Organics
"E. coli, thermotol, MF, MTEC",Pathogens,Pathogens
"Enterococci: group D, MF trans, M-E, EIA",Pathogens,Pathogens
Fecal coliform,Toxic Organics,Toxic Organics
"E. coli, MTEC-MF",Pathogens,Pathogens
"Phosphate, tot. bottom sed., dry wt.",Nutrients,Phosphorus
"Halogens, tot organics bottom sediment",Solids,Suspended Solids
"Hydrocarbon, total recoverable",Organics,COD
"Oil petroleum, total recoverable",Other,Fuel
"Streptococci, fecal plate count KF agar",Pathogens,Pathogens
"Streptococci, fecal MF, KF agar, 35C, 48hr",Pathogens,Pathogens
"Streptococci, fecal 10/mL",Pathogens,Pathogens
"Streptococci, fecal MPN, KF broth 35 C",Pathogens,Pathogens
"Fecal streptococci, MF m-enterococcus ag",Pathogens,Pathogens
"Plate count, total 35 deg. C, 24 hour",Uncategorized,Uncategorized
Klebsiella species,Uncategorized,Uncategorized
"Carbon, chloroform extractables",Toxic Organics,Toxic Organics
Base/neutral compounds,Uncategorized,Uncategorized
"Fluoride, complex",Solids,Dissolved Solids
Sodium chloride [salt],Solids,Dissolved Solids
"Fluoride, free",Solids,Dissolved Solids
Cyanide and thiocyanate - total,Inorganics,Toxic Inorganics
Acid compounds,Uncategorized,Uncategorized
"Carbon, chloroform extracts, ether insoluble",Toxic Organics,Toxic Organics
Dichlorobromomethane,Toxic Organics,Toxic Organics
Carbon tetrachloride,Toxic Organics,Toxic Organics
"1,2-Dichloroethane",Toxic Organics,Toxic Organics
Bromoform,Toxic Organics,Toxic Organics
Dibromochloromethane,Toxic Organics,Toxic Organics
Chloroform,Toxic Organics,Toxic Organics
"Chlorophyll A, corrected",Nutrients,Algae and other Nutrient-related
Pheophytin,Metals,Tin
Chlorophyll A,Nutrients,Algae and other Nutrient-related
Chlorophyll B,Nutrients,Algae and other Nutrient-related
Chlorophyll C,Nutrients,Algae and other Nutrient-related
Tannin and lignin,Uncategorized,Uncategorized
"Oil, petroleum ether extractables",Other,Fuel
Benzofuran,Toxic Organics,Toxic Organics
Acrylic polymer in drilling fluids,Other,Other
"Aluminum stearate, wat sol in drill fl",Metals,Aluminum
"Cellulose polymer, in drilling fluids",Other,Other
DOS-3 in drilling fluids,Other,Other
Imco Lube 106 in drilling fluids,Other,Other
Imco Lubrikleen in drilling fluids,Other,Other
Imco phos in drilling fluids,Other,Other
Kwik Seal in drilling fluids,Other,Other
Starch in drilling fluids,Other,Other
XC Polymer in drilling fluids,Other,Other
"Chloroform extractables, total",Toxic Organics,Toxic Organics
"Phenolics, total recoverable",Toxic Organics,Toxic Organics
Phenolics in bottom deposits [dry wgt],Toxic Organics,Toxic Organics
Toluene,Toxic Organics,Toxic Organics
Halogenated toluene,Toxic Organics,Toxic Organics
Benzene,Toxic Organics,Toxic Organics
Monochlorobenzenes,Toxic Organics,Toxic Organics
Acetochlor,Toxic Organics,Toxic Organics
"Chloramine, total",Inorganics,Disinfectants
Turbidity [severity],Color and Turbidity,Turbidity
Stream flow [severity],Flow,Flow
Discharge flow as % of stream flow,Flow,Flow
"Ice cover, floating or solid [severity]",Metals,Tin
"Alpha, total",Other,Other
"Alpha, total, counting error",Other,Other
"Alpha, dissolved",Other,Other
"Alpha, suspended",Other,Other
"Silver, ionic",Metals,Silver
"Beta, total",Other,Other
"Beta, total, counting error",Other,Other
"Beta, dissolved",Other,Other
"Beta, suspended",Other,Other
"Radiation, gross beta",Other,Other
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",Toxic Organics,Toxic Organics
Oil and grease,Other,Fuel
"Toxics, percent removal",Uncategorized,Uncategorized
