PARAMETER_CODE,PARAMETER_DESC,POLLUTANT_CODE,STATUS_FLAG,UNIT_GROUP_CODE,PERCENT_REMOVAL_FLAG,PERCENT_EXCEEDENCE_FLAG,SNC_FLAG,IR_PARAMETER_DESC,PARENT_CATEGORY,SUB_CATEGORY,PARAMETER_CODE_CLEAN
38765,DEET,10875,A,59,,Y,,,,,38765
38770,Dichlofenthion,12087,A,59,,Y,,,,,38770
38775,"Dichlorvos, total dissolved",12053,A,59,,Y,2.0,,,,38775
38776,"Dichlorvos, total suspended",12053,A,59,,Y,2.0,,,,38776
38777,"Dichlorvos, total sed dry weight",12053,A,59,,Y,2.0,,,,38777
38779,Dinoseb,12016,A,59,,Y,2.0,Dinoseb,Uncommon,Uncommon,38779
38787,"Ethalfluralin water, total",10890,A,59,,Y,2.0,,,,38787
38810,Fluometuron,12467,A,59,,Y,,Fluometuron,Uncommon,Uncommon,38810
61167,"Cations, total",11063,A,37,,Y,,,,,61167
34034,Chlorinated phenols,10390,A,59,,Y,2.0,,,,34034
34035,Isopimaric acid,10685,A,59,,Y,2.0,,,,34035
34036,Linolenic acid,10767,A,59,,Y,2.0,,,,34036
34037,"9,10-Epoxystearic acid",11922,A,59,,Y,2.0,,,,34037
34039,Monochlorodehydroabietic acid,10686,A,59,,Y,2.0,,,,34039
34040,Dichlorodehydroabietic acid,10687,A,59,,Y,2.0,,,,34040
34041,"3,4,5-Trichloroguaiacol",12021,A,59,,Y,2.0,,,,34041
34042,Isoprene,10019,A,59,,Y,2.0,,,,34042
34043,"Phenolics, total",10397,A,108,,Y,,,,,34043
34044,"Oxidants, total residual",11919,A,59,,Y,,,,,34044
34045,"Oxidants, free available",11918,A,59,,Y,,,,,34045
34046,"Oxidants released, total residual",11917,A,59,,Y,,,,,34046
34047,Oxygen transfer efficiency,11929,A,16,,Y,,,,,34047
34048,Oxygen injection diversion,11928,A,51,,Y,,,,,34048
34049,Oxygen injection interruption,11928,A,51,,Y,,,,,34049
34101,Nitroglycerin,10003,A,59,,Y,2.0,,,,34101
34102,Ethylene glycol dinitrate,10638,A,59,,Y,2.0,,,,34102
34103,"Benzene, toluene, xylene in combination",10938,A,59,,Y,2.0,,,,34103
34198,.delta.-BHC,11125,A,59,,Y,2.0,.delta.-BHC,Uncommon,Uncommon,34198
34199,n-Butylbenzene sulfonamide [in water],10949,A,59,,Y,2.0,,,,34199
34200,Acenaphthylene,246,A,59,,Y,2.0,Acenaphthylene,Uncommon,Uncommon,34200
34205,Acenaphthene,10074,A,59,,Y,2.0,Acenaphthene,Uncommon,Uncommon,34205
34208,"Acenaphthene, sed [dry weight]",10074,A,59,,Y,2.0,,,,34208
34210,Acrolein,10054,A,59,,Y,2.0,Acrolein,Toxic Organics,Toxic Organics,34210
34213,"Acrolein, dry weight",10054,A,59,,Y,2.0,,,,34213
34215,Acrylonitrile,10057,A,59,,Y,2.0,Acrylonitrile,Toxic Organics,Toxic Organics,34215
34218,"Acrylonitrile, dry weight",10057,A,59,,Y,2.0,,,,34218
34220,Anthracene,428,A,59,,Y,2.0,Anthracene,Uncommon,Uncommon,34220
34225,Asbestos [fibrous],500,A,59,,Y,2.0,,,,34225
34228,Asbestos [fibrous] dry weight,500,A,59,,Y,,,,,34228
34230,Benzo[b]fluoranthene,10110,A,59,,Y,2.0,Benzo[b]fluoranthene,Toxic Organics,Toxic Organics,34230
34235,"Benzene, dissolved",603,A,59,,Y,2.0,,,,34235
34237,"Benzene, dry weight",603,A,59,,Y,2.0,,,,34237
34242,Benzo[k]fluoranthene,10176,A,59,,Y,2.0,Benzo[k]fluoranthene,Toxic Organics,Toxic Organics,34242
34247,Benzo[a]pyrene,10174,A,59,,Y,2.0,Benzo[a]pyrene,Toxic Organics,Toxic Organics,34247
34250,"Benzo[a]pyrene, dry weight",10174,A,59,,Y,2.0,,,,34250
34253,.alpha.-BHC dissolved,11126,A,59,,Y,2.0,,,,34253
34255,".beta.-BHC, dissolved",11127,A,59,,Y,2.0,,,,34255
34259,.delta.-Benzenehexachloride,11125,A,59,,Y,2.0,,,,34259
34266,.gamma.-Lindane,10228,I,59,,Y,2.0,,,,34266
34268,Bis[chloromethyl] ether,11669,A,59,,Y,2.0,,,,34268
34271,"Bis[chloromethyl] ether, dry weight",11669,A,59,,Y,,,,,34271
34273,Bis[2-chloroethyl] ether,10254,A,59,,Y,2.0,Bis[2-chloroethyl] ether,Toxic Organics,Toxic Organics,34273
34275,Bis[2-chloro-1-methylethyl] ether,12148,A,59,,Y,,,,,34275
34278,Bis[2-chloroethoxy]methane,11248,A,59,,Y,2.0,Bis[2-chloroethoxy]methane,Toxic Organics,Toxic Organics,34278
34281,"Bis[2-chloroethoxy]methane, dry wt.",11248,A,59,,Y,2.0,,,,34281
34283,Bis[2-chloroisopropyl] ether,12149,A,59,,Y,2.0,Bis[2-chloroisopropyl] ether,Toxic Organics,Toxic Organics,34283
34290,"Bromoform, dry weight",11673,A,59,,Y,2.0,,,,34290
34292,Butyl benzyl phthalate,10006,A,59,,Y,2.0,Butyl benzyl phthalate,Uncommon,Uncommon,34292
34299,"Carbon tetrachloride, dry weight",10344,A,59,,Y,2.0,,,,34299
34301,Chlorobenzene,10151,A,59,,Y,2.0,Chlorobenzene,Toxic Organics,Toxic Organics,34301
34304,"Chlorobenzene, dry weight",10151,A,59,,Y,2.0,,,,34304
34306,Chlorodibromomethane,11664,A,59,,Y,2.0,Chlorodibromomethane,Toxic Organics,Toxic Organics,34306
34309,"Chlorodibromomethane, dry weight",11664,A,59,,Y,2.0,,,,34309
34311,"Chloroethane, total weight",10264,I,59,,Y,2.0,,,,34311
34316,"Chloroform, dissolved",10345,A,59,,Y,2.0,,,,34316
34318,"Chloroform, dry weight",10345,A,59,,Y,2.0,,,,34318
34320,Chrysene,1055,A,59,,Y,2.0,Chrysene,Uncommon,Uncommon,34320
34330,"Dichlorobromomethane, dry weight",11660,A,59,,Y,2.0,,,,34330
34334,"Dichlorodifluoromethane, dry weight",11666,A,59,,Y,,,,,34334
34336,Diethyl phthalate,10008,A,59,,Y,2.0,Diethyl phthalate,Toxic Organics,Toxic Organics,34336
34339,"Diethyl phthalate, dry weight",10008,A,59,,Y,2.0,,,,34339
34341,Dimethyl phthalate,10631,A,59,,Y,2.0,Dimethyl phthalate,Toxic Organics,Toxic Organics,34341
34342,Dimethyl phthalate,10631,A,59,,Y,2.0,Dimethyl phthalate,Toxic Organics,Toxic Organics,34342
34344,"Dimethyl phthalate, dry weight",10631,A,59,,Y,2.0,,,,34344
34346,"1,2-Diphenylhydrazine",11399,A,59,,Y,2.0,"1,2-Diphenylhydrazine",Toxic Organics,Toxic Organics,34346
34349,"1,2-Diphenylhydrazine, dry weight",11399,A,59,,Y,2.0,,,,34349
34351,Endosulfan sulfate,10756,A,59,,Y,2.0,Endosulfan sulfate,Uncommon,Uncommon,34351
34356,.beta.-Endosulfan,10758,A,59,,Y,2.0,.beta.-Endosulfan,Uncommon,Uncommon,34356
34361,.alpha.-Endosulfan,10759,A,59,,Y,2.0,.alpha.-Endosulfan,Uncommon,Uncommon,34361
34366,Endrin aldehyde,10627,A,59,,Y,2.0,Endrin aldehyde,Uncommon,Uncommon,34366
34371,Ethylbenzene,10157,A,59,,Y,2.0,Ethylbenzene,Toxic Organics,Toxic Organics,34371
34374,"Ethylbenzene, dry weight",10157,A,59,,Y,2.0,,,,34374
34376,Fluoranthene,7822,A,59,,Y,2.0,Fluoranthene,Toxic Organics,Toxic Organics,34376
34379,"Fluoranthene, dry weight",7822,A,59,,Y,2.0,,,,34379
34381,Fluorene,10072,A,59,,Y,2.0,Fluorene,Uncommon,Uncommon,34381
34384,"Fluorene, dry weight",10072,A,59,,Y,2.0,,,,34384
34386,Hexachlorocyclopentadiene,10662,A,59,,Y,2.0,Hexachlorocyclopentadiene,Toxic Organics,Toxic Organics,34386
34389,"Hexachlorocyclopentadiene, dry weight",10662,A,59,,Y,2.0,,,,34389
34391,Hexachlorobutadiene,10017,A,59,,Y,2.0,Hexachlorobutadiene,Toxic Organics,Toxic Organics,34391
34396,Hexachloroethane,10266,A,59,,Y,2.0,Hexachloroethane,Toxic Organics,Toxic Organics,34396
34399,"Hexachloroethane, dry weight",10266,A,59,,Y,2.0,,,,34399
34403,"Indeno[1,2,3-cd]pyrene",10313,A,59,,Y,2.0,"Indeno[1,2,3-cd]pyrene",Toxic Organics,Toxic Organics,34403
34406,"Indeno[1,2,3-cd]pyrene, dry weight",10313,A,59,,Y,2.0,,,,34406
38820,"Isopropalin water, total",10884,A,59,,Y,2.0,,,,38820
49878,Potassium permanganate,11997,A,35,,Y,,,,,49878
49879,Chloride [1% solution],5033,A,35,,Y,,,,,49879
49880,Chloride [3% solution],5033,A,35,,Y,,,,,49880
49881,Diquat product,11198,A,35,,Y,,,,,49881
49882,Formalin [250 mg/L application],10288,A,35,,Y,,,,,49882
49883,Formalin [1670 mg/L application],10288,A,35,,Y,,,,,49883
49884,Hatchery flow,11381,A,65,,Y,,,,,49884
49885,Hatchery flow treated,11382,A,90,,Y,,,,,49885
49886,Betz clam-trol CT-2,11099,A,59,,Y,,,,,49886
49887,Betz clam-trol CT-4,11100,A,59,,Y,,,,,49887
49888,"1,1-Dichloro-2,2-diethoxyethane",11256,A,59,,Y,,,,,49888
49889,2-Ethylbenzeneamine,10881,A,59,,Y,,,,,49889
49890,"Tetramethylurea, total",12472,A,59,,Y,,,,,49890
49922,"Diesel range organics diesel, total, wtr",11189,A,59,,Y,,,,,49922
49924,N-Methylbenzeneamine,10891,A,59,,Y,,,,,49924
50008,Priority Pollutants,12121,A,59,,Y,2.0,,,,50008
50018,"2,4-Di-tert-pentylphenol, total",12009,A,59,,Y,,,,,50018
50019,"Butylamine, total, water",10673,A,59,,Y,,,,,50019
50020,"1-Formylpiperdine, total",10688,A,59,,Y,,,,,50020
50021,"Tripropyl orthoformate, total",12143,A,59,,Y,,,,,50021
50022,"Trimethyl orthoacetate, total",11253,A,59,,Y,,,,,50022
50023,"U-Toluidine, total",10893,A,59,,Y,,,,,50023
50024,"Chlordane, CA Ocean Plan definition",11081,A,59,,Y,2.0,,,,50024
50033,"Condenser cooling, water pumping rate",11113,A,65,,Y,,,,,50033
50037,Duration,11230,A,137,,Y,,Duration,Uncommon,Uncommon,50037
50043,Plant intake as % of stream flow,12097,A,16,,Y,,,,,50043
50045,Application rate area sprayed,10825,A,145,,Y,,,,,50045
50047,"Flow, maximum during 24 hr period",11316,A,65,,Y,,,,,50047
50048,"Flow, maximum during 24 hour period",11316,I,65,,Y,,,,,50048
50049,"Flow, wastewater by-passing trtmnt plant",11325,A,65,,Y,,,,,50049
50050,"Flow, in conduit or thru treatment plant",11315,A,66,,Y,,"Flow, in conduit or thru treatment plant",Flow,Flow,50050
50056,"Injection pressure, at well head",11422,A,93,,Y,,,,,50056
50057,Pressure in annulus of waste inject well,12118,A,94,,Y,,,,,50057
50058,Chlorine dose,11090,A,59,,Y,2.0,,,,50058
50059,Chlorine rate,11092,A,59,,Y,2.0,,,,50059
50060,"Chlorine, total residual",928,A,59,,Y,2.0,"Chlorine, total residual",Inorganics,Disinfectants,50060
50064,"Chlorine, free available",928,A,59,,Y,2.0,"Chlorine, free available",Inorganics,Disinfectants,50064
50066,"Chlorine, combined available",928,A,59,,Y,2.0,,,,50066
50068,Chlorination,11086,A,154,,Y,2.0,,,,50068
50070,Chlorine dioxide,10206,A,59,,Y,2.0,,,,50070
50073,Monoboro chlorate,11082,A,59,,Y,1.0,,,,50073
50074,Chlorite,7212,A,59,,Y,1.0,,,,50074
50075,Ferricyanide,11295,A,59,,Y,2.0,,,,50075
50076,"BOD, percent removal [total]",10859,A,16,Y,Y,1.0,,,,50076
50077,5-Day sum of BOD5 discharged,10754,A,118,,Y,1.0,,,,50077
50078,7-Day sum of BOD5 discharged,10764,A,118,,Y,1.0,,,,50078
50079,7-Day sum of WLA values,10765,A,118,,Y,1.0,,,,50079
50081,WLA BOD-5 day value,12485,A,59,,Y,1.0,,,,50081
50082,5-Day sum of WLA values,10755,A,118,,Y,1.0,,,,50082
50083,Avg. of 7-day sum of BOD5 values,10834,A,59,,Y,1.0,,,,50083
50092,"Mercury, total low level",2448,A,59,,Y,2.0,,,,50092
50248,Total production - days,12429,A,134,,Y,,,,,50248
50256,"Halogens, adsorbable organic [AOX]",10091,A,103,,Y,,,,,50256
50258,"Hydrogen peroxide, total, dilution ratio",10308,A,35,,Y,1.0,,,,50258
50259,"Hydrocarbon, aqueous",11402,A,59,,Y,,,,,50259
50286,"Mercury, total [low level]",2448,A,59,,Y,2.0,,,,50286
50570,"4-Chloro-2,6-dinitrophenol",12033,A,59,,Y,,,,,50570
50572,Pentaeerythritol tetranitrate,10666,A,59,,Y,,,,,50572
50758,Triethylene glycol,11275,A,59,,Y,,,,,50758
50762,2-Propanone,10051,A,59,,Y,2.0,,,,50762
50763,Butanone,4800,A,59,,Y,2.0,,,,50763
50764,Trichloroethane,10267,I,59,,Y,2.0,,,,50764
50796,Acrylamide,6400,A,59,,Y,2.0,,,,50796
50797,Carcinogen additivity factor,11061,A,12,,N,,,,,50797
50901,Glycol [total],10012,A,59,,Y,,,,,50901
50997,Surface loading rate,12295,A,53,,Y,,Surface loading rate,Uncommon,Uncommon,50997
51000,Methyl formate,11330,A,59,,Y,2.0,,,,51000
51001,Isobutyraldehyde,12137,A,59,,Y,2.0,,,,51001
51002,n-Amyl acetate,10086,A,59,,Y,2.0,,,,51002
51003,Amyl alcohol,10682,A,59,,Y,2.0,,,,51003
51004,Boundary areas,10988,A,54,,Y,,,,,51004
51005,% of fecal coliform samples < detectable,11995,A,16,,Y,,,,,51005
51006,Spinosad [DE-105],12266,A,59,,Y,,,,,51006
51007,.beta.-BHC,11127,I,59,,Y,2.0,.beta.-BHC,Uncommon,Uncommon,51007
51008,tert-Butyl alcohol [TBA],10050,A,59,,Y,2.0,,,,51008
51009,RDX+HMX,10645,A,59,,Y,,,,,51009
51010,Methyl acrylate,10736,A,59,,Y,2.0,,,,51010
51011,Dibutyl phthalate,10007,A,59,,Y,,,,,51011
51012,"BOD, 5 day percent removal, dry",10842,A,16,Y,Y,1.0,,,,51012
51013,"BOD, 5 day percent removal, wet",10843,A,16,Y,Y,1.0,,,,51013
39504,PCB-1254,4880,A,59,,Y,2.0,PCB-1254,Uncommon,Uncommon,39504
39507,"PCB-1254, bot. dep.,dry solid",4880,A,59,,Y,,,,,39507
39508,PCB-1260,457,A,59,,Y,2.0,PCB-1260,Uncommon,Uncommon,39508
39511,"PCB-1260, bot. dep., dry solid",457,A,59,,Y,,,,,39511
THA6E,Chronic Value Static 48Hr Acute Lepomis Macrochirus,4677,A,16,,Y,,,,,THA6E
THB6E,Chv Static 96Hr Acute Lepomis Macrochirus,4677,A,16,,Y,,,,,THB6E
THC6E,Chv Static 4Day Chronic Lepomis Macrochirus,4677,A,16,,Y,,,,,THC6E
THD6E,Chv Static 7Day Chronic Lepomis Macrochirus,4677,A,16,,Y,,,,,THD6E
THE6E,Chronic Value Static 1Hr Chronic Lepomis macrochirus,4677,A,16,,Y,,,,,THE6E
THF6D,Chv Static 1Hr Chronic Salmo Gair.,4677,A,16,,Y,,,,,THF6D
THG6D,Chv Static 48Hr Chronic Salmo Gair.,4677,A,16,,Y,,,,,THG6D
THM6E,Chronic Value Static Renewal 48Hr Acute Lepomis Macrochirus,4677,A,16,,Y,,,,,THM6E
