Appendix A: Final 2024 303(d) List ,,,,,,,,,,,,,,,,,,,,,,,,
Regional Board,Regional Board Name,Waterbody Name,Waterbody ID,Waterbody Type,Estimated Size Affected,Unit,Integrated Report Category,Water Body CALWNUMS,Water Body Reach Codes,Water Body WBD Codes,Waterbody Counties,Decision ID,Pollutant,Pollutant Category,Sources,Final Listing Decision,Decision Status,TMDL Requirement Status,TMDL Project Name,Expected TMDL Completion Date,Expected Attainment Date,Date TMDL Approved by USEPA,Implementation Action Other than a TMDL,Comments
1,Regional Board 1 - North Coast Region,"Eel River HU, Upper Main HA, Lake Pillsbury HSA, Lake Pillsbury",CAL1116305119990217103140,Lake & Reservoir,1947.49,Acres,5,"1111.630401, 1111.630501, 1111.630502, 1111.630704",1.80E+13,"180101030103, 180101030204, 180101030205, 180101030502",Lake,75871,Mercury,Metals,A Source Unknown,Do Not Delist from 303(d) list (TMDL required list),Revised,5A,,2012,,,,
1,Regional Board 1 - North Coast Region,"Eureka Plain HU, Freshwater Creek",CAR1100005019980707102630,River & Stream,114.22,Miles,5,"1110.000101, 1110.000102, 1110.000103, 1110.000104, 1110.000105","18010102000041, 18010102000042, 18010102000043, 18010102000044, 18010102000045, 18010102000046, 18010102000047, 18010102000048, 18010102000049, 18010102000050, (Total Count: 123)","180101020602, 180101020605",Humboldt,78002,Sedimentation/Siltation,Sediment,A Source Unknown,Do Not Delist from 303(d) list (TMDL required list),Original,5A,,2017,,,,"The Eureka Plain HU, Freshwater Creek includes the following Calwater Planning Watersheds (PWS): Upper Freshwater Creek (1110000101), Little Freshwater Creek (1110000103), Cloney Gulch (1110000102), Ryan Slough (1110000104), and Fay Slough (1110000105)."
1,Regional Board 1 - North Coast Region,"Eureka Plain HU, Humboldt Bay",CAB1100000020020108173626,Bay & Harbor,16075.08,Acres,5,"1110.000105, 1110.000106, 1110.000107, 1110.000401, 1110.000402, 1110.000502, 1110.000503, 1110.000601, 1110.000602, 1110.000603, (Total Count: 11)",,"180101020605, 180101020606",Humboldt,70917,Dioxin Toxic Equivalents,Toxic Organics,A Source Unknown   Industrial Point Sources   Waste Storage/Storage Tank Leaks (above ground),Do Not Delist from 303(d) list (TMDL required list),Original,5A,,2031,,,,
1,Regional Board 1 - North Coast Region,"Eureka Plain HU, Humboldt Bay",CAB1100000020020108173626,Bay & Harbor,16075.08,Acres,5,"1110.000105, 1110.000106, 1110.000107, 1110.000401, 1110.000402, 1110.000502, 1110.000503, 1110.000601, 1110.000602, 1110.000603, (Total Count: 11)",,"180101020605, 180101020606",Humboldt,73027,PCBs (Polychlorinated biphenyls),Toxic Organics,A Source Unknown,Do Not Delist from 303(d) list (TMDL required list),Original,5A,,2025,,,,
1,Regional Board 1 - North Coast Region,"Eureka Plain HU, Jacoby Creek watershed",CAR1100001319990617093415,River & Stream,28.17,Miles,5,"1110.000503, 1110.000504","18010102000054, 18010102000055, 18010102000056, 18010102000057, 18010102000058, 18010102000059, 18010102000060, 18010102001102, 18010102001103, 18010102001104, (Total Count: 24)",1.80E+11,Humboldt,70710,Sediment,Sediment,A Source Unknown,Do Not Delist from 303(d) list (TMDL required list),Original,5A,,2019,,,,"The Eureka Plain HU, Jacoby Creek watershed includes the following Calwater Planning Watersheds (PWS): 110.00010 and 110.00013."
1,Regional Board 1 - North Coast Region,Hare Creek Beach,CAC1132004120081013222913,Coastal & Bay Shoreline,0.11,Miles,5,"1113.200401, 1113.200402, 1113.200403","18010108000278, 18010108000279",1.80E+11,Mendocino,78330,Indicator Bacteria,Pathogens,A Source Unknown,Do Not Delist from 303(d) list (TMDL required list),Revised,5A,,2022,,,,
1,Regional Board 1 - North Coast Region,"Klamath River HU, Lost River HA, Tule Lake and Mt Dome HSAs",CAR1059101019990217163525,River & Stream,772.56,Miles,5,10590000,,,"Modoc, Siskiyou",78236,Mercury,Metals,A Source Unknown,Do Not Delist from 303(d) list (TMDL required list),Revised,5A,,2032,,,,"This listing applies only to the Klamath Straits Drain, which lies within the Klamath River HU, Lost River HA, Tule Lake and Mt Dome HSA water body."
1,Regional Board 1 - North Coast Region,"Klamath River HU, Middle HA and Lower HA, Scott River to Trinity River",CAR1053107519990610152950,River & Stream,4324.29,Miles,5,"1105.120302, 1105.210305, 1105.310102, 1105.310205, 1105.310403, 1105.310406, 1105.310407, 1105.310601, 1105.310604, 1105.310705","18010209005919, 18010209006701, 18010209009093, 18010209009196, 18010209009607, 18010209010968, 18010209011030, 18010209011098, 18010209011755, 18010210002185","180102061101, 180102090101, 180102090102, 180102090103, 180102090104, 180102090201, 180102090202, 180102090301, 180102090302, 180102090601","Del Norte, Humboldt, Siskiyou",77672,Sediment,Sediment,A Source Unknown,Do Not Delist from 303(d) list (TMDL required list),Original,5A,,2025,,,,"This listing for sediment only applies to the mainstem of the following waterbodies in the Klamath River HU, Middle HA and Lower HA, Scott River to Trinity River:  China Creek, Grider Creek, Thompson Creek, and Walker Creek.The following streams are not significantly altered by anthropogenic activities, and are reference streams, which indicates attainment of sediment water quality objectives: (1) Portuguese Creek and its Tributaries; (2) Fort Goff Creek and its Tributaries; (3) Cedar Creek and its tributaries; (4) Clear Creek and its tributaries from the headwaters to the confluence with Tenmile Creek; (5) Twin Valley Creek and its tributaries; (6) Canyon Creek and its tributaries from the headwaters to confluence with Seiad Creek; (7) Elk Creek and its tributaries from the headwaters to Bear Creek; (8) Ten Mile Creek and its tributaries; and (9) North Fork Dillon Creek and its tributaries from the from the headwaters to Vann Creek."
1,Regional Board 1 - North Coast Region,"Klamath River HU, Middle HA, Iron Gate Dam to Scott River",CAR1053505320011215015907,River & Stream,1638.48,Miles,5,"1105.350105, 1105.350304, 1105.350306, 1105.350504, 1105.360101, 1105.360205, 1105.360303, 1105.360304, 1105.370101, 1105.370204","18010206000839, 18010206001241, 18010206001450, 18010206002425, 18010206006128, 18010206006609, 18010206006779, 18010206010578, 18010206011202, 18010206011637","180102060601, 180102060703, 180102060704, 180102060801, 180102060802, 180102060901, 180102061001, 180102061002, 180102061003, 180102061005",Siskiyou,74060,Aluminum,Metals,A Source Unknown,Do Not Delist from 303(d) list (TMDL required list),Revised,5A,,2031,,,,"This listing only applies to the portion of the mainstem Klamath River that lies within the Klamath River HU, Middle HA, Iron Gate Dam to Scott River water body."
1,Regional Board 1 - North Coast Region,"Klamath River HU, Middle HA, Iron Gate Dam to Scott River",CAR1053505320011215015907,River & Stream,1638.48,Miles,5,"1105.350105, 1105.350304, 1105.350306, 1105.350504, 1105.360101, 1105.360205, 1105.360303, 1105.360304, 1105.370101, 1105.370204","18010206000839, 18010206001241, 18010206001450, 18010206002425, 18010206006128, 18010206006609, 18010206006779, 18010206010578, 18010206011202, 18010206011637","180102060601, 180102060703, 180102060704, 180102060801, 180102060802, 180102060901, 180102061001, 180102061002, 180102061003, 180102061005",Siskiyou,76322,Sediment,Sediment,A Source Unknown,Do Not Delist from 303(d) list (TMDL required list),Original,5A,,2025,,,,"This listing for sediment only applies to the mainstem of the following waterbodies in the Klamath River HU, Middle HA, Iron Gate Dam to the Scott River:  Beaver Creek, Cow Creek, Deer Creek, Hungry Creek, and West Fork Beaver Creek."
1,Regional Board 1 - North Coast Region,"Klamath River HU, Scott River HA",CAR1054103519980707120412,River & Stream,2443.67,Miles,5,"1105.410102, 1105.410201, 1105.410303, 1105.410305, 1105.410306, 1105.420105, 1105.420404, 1105.420405, 1105.420701, 1105.420903","18010208000297, 18010208000514, 18010208000949, 18010208002471, 18010208002484, 18010208003595, 18010208003606, 18010208004299, 18010208004449, 18010208005356","180102080203, 180102080204, 180102080401, 180102080403, 180102080503, 180102080504, 180102080601, 180102080603, 180102080604, 180102080605",Siskiyou,73738,Aluminum,Metals,A Source Unknown,Do Not Delist from 303(d) list (TMDL required list),Revised,5A,,2025,,,,"This listing only applies to the middle mainstem Scott River from Young's Dam to Boulder Creek, which lies within the Klamath River HU, Scott River HA water body."
1,Regional Board 1 - North Coast Region,"Klamath River HU, Scott River HA",CAR1054103519980707120412,River & Stream,2443.67,Miles,5,"1105.410102, 1105.410201, 1105.410303, 1105.410305, 1105.410306, 1105.420105, 1105.420404, 1105.420405, 1105.420701, 1105.420903","18010208000297, 18010208000514, 18010208000949, 18010208002471, 18010208002484, 18010208003595, 18010208003606, 18010208004299, 18010208004449, 18010208005356","180102080203, 180102080204, 180102080401, 180102080403, 180102080503, 180102080504, 180102080601, 180102080603, 180102080604, 180102080605",Siskiyou,80289,"Oxygen, Dissolved",Nutrients,A Source Unknown,Do Not Delist from 303(d) list (TMDL required list),Revised,5A,,2031,,,,"This listing only applies to the middle mainstem Scott River from Young's Dam to Boulder Creek and Snicktaw Creek, which lie within the  Klamath River HU, Scott River HA  water body."
1,Regional Board 1 - North Coast Region,"Klamath River HU, Scott River HA",CAR1054103519980707120412,River & Stream,2443.67,Miles,5,"1105.410102, 1105.410201, 1105.410303, 1105.410305, 1105.410306, 1105.420105, 1105.420404, 1105.420405, 1105.420701, 1105.420903","18010208000297, 18010208000514, 18010208000949, 18010208002471, 18010208002484, 18010208003595, 18010208003606, 18010208004299, 18010208004449, 18010208005356","180102080203, 180102080204, 180102080401, 180102080403, 180102080503, 180102080504, 180102080601, 180102080603, 180102080604, 180102080605",Siskiyou,80059,pH,Other Cause,A Source Unknown,Do Not Delist from 303(d) list (TMDL required list),Revised,5A,,2025,,,,"This listing only applies to the middle mainstem Scott River from Young's Dam to Boulder Creek and Shackleford Creek above Campbell Lake, which lie within the Klamath River HU, Scott River HA water body."
1,Regional Board 1 - North Coast Region,"Klamath River HU, Shasta River HA",CAR1055000119990528113804,River & Stream,1402.77,Miles,5,"1105.500201, 1105.500203, 1105.500302, 1105.500402, 1105.500603, 1105.500709, 1105.500801, 1105.500803, 1105.500902, 1105.501003","18010207000007, 18010207000230, 18010207000630, 18010207000745, 18010207000822, 18010207001017, 18010207001627, 18010207001892, 18010207002881, 18010207003162","180102070101, 180102070104, 180102070303, 180102070304, 180102070401, 180102070404, 180102070408, 180102070410, 180102070501, 180102070503",Siskiyou,74204,Aluminum,Metals,A Source Unknown,Do Not Delist from 303(d) list (TMDL required list),Revised,5A,,2031,,,,"This listing only applies to the mainstem Shasta River, which lies within the  Klamath River HU, Shasta River HA  water body."
1,Regional Board 1 - North Coast Region,Luffenholtz Beach,CAC1081001220070319155307,Coastal & Bay Shoreline,0.44,Miles,5,"1108.100002, 1108.100002, 1108.100002, 1108.100002, 1108.100003, 1108.100003, 1108.100003, 1108.200001, 1108.200001, 1108.200001, (Total Count: 16)","18010102000274, 18010102000274",1.80E+11,Humboldt,72882,Indicator Bacteria,Pathogens,A Source Unknown,Do Not Delist from 303(d) list (TMDL required list),Revised,5A,,2022,,,,
1,Regional Board 1 - North Coast Region,Mackerricher State Park (near Virgin Creek),CAC1132005720110712144923,Coastal & Bay Shoreline,0.86,Miles,5,"1113.200504, 1113.200505, 1113.200506, 1113.200507",1.80E+13,1.80E+11,Mendocino,78535,Indicator Bacteria,Pathogens,A Source Unknown,Do Not Delist from 303(d) list (TMDL required list),Revised,5A,,2022,,,,
1,Regional Board 1 - North Coast Region,"Mad River HU, Mad River",CAR1091001119980706155140,River & Stream,1882.01,Miles,5,"1107.300103, 1109.100103, 1109.300201, 1109.300302, 1109.300404, 1109.300405, 1109.300503, 1109.300602, 1109.400301, 1109.400302","18010102003146, 18010102003193, 18010102004168, 18010102005230, 18010102005310, 18010102005505, 18010102005835, 18010102005846, 18010102006028, 18010102006283","180101020301, 180101020302, 180101020401, 180101020402, 180101020403, 180101020404, 180101020405, 180101020406, 180101020407, 180101020408","Humboldt, Trinity",73888,Aluminum,Metals,A Source Unknown,Do Not Delist from 303(d) list (TMDL required list),Revised,5A,,2031,,,,"This listing only applies to the mainstem Mad River which lies within the  Mad River HU, Mad River  water body."
1,Regional Board 1 - North Coast Region,"Mad River HU, Mad River",CAR1091001119980706155140,River & Stream,1882.01,Miles,5,"1107.300103, 1109.100103, 1109.300201, 1109.300302, 1109.300404, 1109.300405, 1109.300503, 1109.300602, 1109.400301, 1109.400302","18010102003146, 18010102003193, 18010102004168, 18010102005230, 18010102005310, 18010102005505, 18010102005835, 18010102005846, 18010102006028, 18010102006283","180101020301, 180101020302, 180101020401, 180101020402, 180101020403, 180101020404, 180101020405, 180101020406, 180101020407, 180101020408","Humboldt, Trinity",70098,"Temperature, water",Other Cause,A Source Unknown,Do Not Delist from 303(d) list (TMDL required list),Revised,5A,,2031,,,,
1,Regional Board 1 - North Coast Region,"Mad River HU, Mad River",CAR1091001119980706155140,River & Stream,1882.01,Miles,5,"1107.300103, 1109.100103, 1109.300201, 1109.300302, 1109.300404, 1109.300405, 1109.300503, 1109.300602, 1109.400301, 1109.400302","18010102003146, 18010102003193, 18010102004168, 18010102005230, 18010102005310, 18010102005505, 18010102005835, 18010102005846, 18010102006028, 18010102006283","180101020301, 180101020302, 180101020401, 180101020402, 180101020403, 180101020404, 180101020405, 180101020406, 180101020407, 180101020408","Humboldt, Trinity",70099,Turbidity,Sediment,A Source Unknown,Do Not Delist from 303(d) list (TMDL required list),Original,5A,,2031,,,,
1,Regional Board 1 - North Coast Region,"Mendocino Coast HU, Albion River HA, Albion River",CAR1134001319980708180108,River & Stream,98.24,Miles,5,"1113.400001, 1113.400002, 1113.400003, 1113.400006","18010108000201, 18010108000842, 18010108000861, 18010108003105, 18010108003111, 18010108003151, 18010108003169, 18010108003237, 18010108003276, 18010108003326",1.80E+11,Mendocino,77925,"Temperature, water",Other Cause,Flow Alteration/Regulation/Modification   Removal of Riparian Vegetation,Do Not Delist from 303(d) list (TMDL required list),Original,5A,,2019,,,,
1,Regional Board 1 - North Coast Region,"Mendocino Coast HU, Big River HA, Berry Gulch",CAR1133004220020108163237,River & Stream,28.23,Miles,5,"1113.300402, 1113.300403","18010108001298, 18010108001301, 18010108002473, 18010108002561, 18010108002619, 18010108002659, 18010108002689, 18010108002816, 18010108002817, 18010108002825",1.80E+11,Mendocino,78898,"Oxygen, Dissolved",Nutrients,A Source Unknown,Do Not Delist from 303(d) list (TMDL required list),Revised,5A,,2025,,,,"This listing only applies to Rocky Gulch, the Little North Fork, and Manley Gulch which lie within the  Mendocino Coast HU, Big River HA, Berry Gulch  water body."
1,Regional Board 1 - North Coast Region,"Mendocino Coast HU, Big River HA, Berry Gulch",CAR1133004220020108163237,River & Stream,28.23,Miles,5,"1113.300402, 1113.300403","18010108001298, 18010108001301, 18010108002473, 18010108002561, 18010108002619, 18010108002659, 18010108002689, 18010108002816, 18010108002817, 18010108002825",1.80E+11,Mendocino,72924,"Temperature, water",Other Cause,Flow Alteration/Regulation/Modification   Removal of Riparian Vegetation,Do Not Delist from 303(d) list (TMDL required list),Original,5A,,2025,,,,"This listing only applies to the Little North Fork, which lies within the Mendocino Coast HU, Big River HA, Berry Gulch water body."
1,Regional Board 1 - North Coast Region,"Mendocino Coast HU, Big River HA, Big River",CAR1133004319980708174237,River & Stream,448.49,Miles,5,"1113.300101, 1113.300102, 1113.300103, 1113.300104, 1113.300201, 1113.300202, 1113.300203, 1113.300301, 1113.300302, 1113.300303, (Total Count: 15)","18010108000744, 18010108002714, 18010108002802, 18010108002887, 18010108003055, 18010108003098, 18010108003295, 18010108003585, 18010108003706, 18010108007791","180101080301, 180101080302, 180101080303, 180101080304, 180101080803",Mendocino,78945,"Oxygen, Dissolved",Nutrients,A Source Unknown,Do Not Delist from 303(d) list (TMDL required list),Revised,5A,,2025,,,,"This listing only applies to Cookhouse Gulch, the mainstem Big River, and Railroad Gulch which lie within the  Mendocino Coast HU, Big River HA, Big River  water body."
1,Regional Board 1 - North Coast Region,"Mendocino Coast HU, Big River HA, Big River",CAR1133004319980708174237,River & Stream,448.49,Miles,5,"1113.300101, 1113.300102, 1113.300103, 1113.300104, 1113.300201, 1113.300202, 1113.300203, 1113.300301, 1113.300302, 1113.300303, (Total Count: 15)","18010108000744, 18010108002714, 18010108002802, 18010108002887, 18010108003055, 18010108003098, 18010108003295, 18010108003585, 18010108003706, 18010108007791","180101080301, 180101080302, 180101080303, 180101080304, 180101080803",Mendocino,68160,"Temperature, water",Other Cause,Flow Alteration/Regulation/Modification   Removal of Riparian Vegetation,Do Not Delist from 303(d) list (TMDL required list),Original,5A,,2019,,,,
1,Regional Board 1 - North Coast Region,"Mendocino Coast HU, Garcia River HA, Garcia River",CAR1137002619980709103133,River & Stream,242.92,Miles,5,"1113.700101, 1113.700102, 1113.700103, 1113.700104, 1113.700105, 1113.700201, 1113.700202, 1113.700203, 1113.700204, 1113.700205, (Total Count: 12)","18010108000044, 18010108001207, 18010108001238, 18010108001258, 18010108004366, 18010108004426, 18010108004462, 18010108004492, 18010108004536, 18010108004727","180101080501, 180101080502, 180101080503, 180101080905",Mendocino,70288,"Temperature, water",Other Cause,Flow Alteration/Regulation/Modification   Removal of Riparian Vegetation,Do Not Delist from 303(d) list (TMDL required list),Revised,5A,,2019,,,,"Elevated temperatures impacting cold water fisheries in these reaches and sub_areas: Planning Units 113.70010 (Pardaloe Creek), 113.70011, 12, 13, 14, 20, 21 and the entire mainstem Garcia River from Pardaloe Creek to the estuary, which includes that portion of 113.70022, 23, 24, 25, and 26. February 2002- The Garcia River TMDL for sediment has been adopted by NCRWQCB and approved by SWRCB and Office of Administrative Law. It is possible that voluntary compliance with measures in this TMDL will improve conditions related to temperature prior to development of a TMDL for temperature."
1,Regional Board 1 - North Coast Region,"Mendocino Coast HU, Gualala River HA, Gualala River",CAR1138502119980709123111,River & Stream,685.36,Miles,5,"1113.810002, 1113.810003, 1113.820001, 1113.820003, 1113.820004, 1113.830002, 1113.830003, 1113.840302, 1113.840304, 1113.850101","18010109000281, 18010109000542, 18010109000580, 18010109000717, 18010109000866, 18010109001001, 18010109001020, 18010109001064, 18010109001092, 18010109001099","180101080906, 180101090101, 180101090102, 180101090103, 180101090104, 180101090105, 180101090106, 180101090107, 180101090108","Mendocino, Sonoma",75192,Aluminum,Metals,A Source Unknown,Do Not Delist from 303(d) list (TMDL required list),Revised,5A,,2025,,,,This listing for aluminum only applies to the mainstem Gualala River in the Gualala River HA.
1,Regional Board 1 - North Coast Region,"Mendocino Coast HU, Gualala River HA, Gualala River",CAR1138502119980709123111,River & Stream,685.36,Miles,5,"1113.810002, 1113.810003, 1113.820001, 1113.820003, 1113.820004, 1113.830002, 1113.830003, 1113.840302, 1113.840304, 1113.850101","18010109000281, 18010109000542, 18010109000580, 18010109000717, 18010109000866, 18010109001001, 18010109001020, 18010109001064, 18010109001092, 18010109001099","180101080906, 180101090101, 180101090102, 180101090103, 180101090104, 180101090105, 180101090106, 180101090107, 180101090108","Mendocino, Sonoma",70153,"Temperature, water",Other Cause,Flow Alteration/Regulation/Modification   Removal of Riparian Vegetation,Do Not Delist from 303(d) list (TMDL required list),Revised,5A,,2019,,,,"The Gualala River is listed for temperature, with the exception of the Little North Fork and its tributaries."
1,Regional Board 1 - North Coast Region,"Mendocino Coast HU, Noyo River HA, Pudding Creek",CAR1132005020020227182345,River & Stream,40.66,Miles,5,"1113.200501, 1113.200508","18010108000304, 18010108000307, 18010108000308, 18010108000411, 18010108000414, 18010108000637, 18010108000639, 18010108000641, 18010108000642, 18010108001557, (Total Count: 65)","180101080701, 180101080702",Mendocino,69891,"Temperature, water",Other Cause,Flow Alteration/Regulation/Modification   Removal of Riparian Vegetation,Do Not Delist from 303(d) list (TMDL required list),Original,5A,,2031,,,,"This listing only applies to the mainstem of Pudding Creek, which lies within the Mendocino Coast HU, Noyo River HA, Pudding Creek water body.  This is a refinement of the original 2006 303 (d) listing and reflects the extent of impairment as documented by the data submitted."
1,Regional Board 1 - North Coast Region,"Mendocino Coast HU, Rockport HA, Ten Mile River HSA",CAR1131304519980708163410,River & Stream,251.7,Miles,5,"1113.130101, 1113.130102, 1113.130201, 1113.130202, 1113.130203, 1113.130204, 1113.130301, 1113.130302, 1113.130303, 1113.130304, (Total Count: 14)","18010108000347, 18010108000571, 18010108000584, 18010108000591, 18010108000617, 18010108001512, 18010108001619, 18010108001629, 18010108002016, 18010108007407","180101080101, 180101080102, 180101080103",Mendocino,78560,"Temperature, water",Other Cause,Flow Alteration/Regulation/Modification   Removal of Riparian Vegetation,Do Not Delist from 303(d) list (TMDL required list),Original,5A,,2025,,,,"This listing does not apply to Mill Creek, Gulch 11, Churchman Creek, Little Bear Haven Creek, Buckhorn Creek, Booth Gulch, Smith Creek, Bear Haven Creek, and the Little North Fork Ten Mile River, all of which lie within the Mendocino Coast HU, Rockport HA, Ten Mile River HSA water body."
1,Regional Board 1 - North Coast Region,Moonstone County Park,CAC1081001220070319154339,Coastal & Bay Shoreline,0.93,Miles,5,"1108.100002, 1108.200002","18010102000257, 18010102000274, 18010102008296",1.80E+11,Humboldt,80060,Indicator Bacteria,Pathogens,A Source Unknown,Do Not Delist from 303(d) list (TMDL required list),Revised,5A,,2022,,,,
1,Regional Board 1 - North Coast Region,Old Home Beach,CAC1081001220120426090438,Coastal & Bay Shoreline,0.11,Miles,5,1108.100002,1.80E+13,1.80E+11,Humboldt,78126,Indicator Bacteria,Pathogens,A Source Unknown,Do Not Delist from 303(d) list (TMDL required list),Revised,5A,,2022,,,,
1,Regional Board 1 - North Coast Region,Pudding Creek Beach,CAC1132005020081013224604,Coastal & Bay Shoreline,0.16,Miles,5,"1113.200507, 1113.200508",1.80E+13,1.80E+11,Mendocino,79664,Indicator Bacteria,Pathogens,A Source Unknown,Do Not Delist from 303(d) list (TMDL required list),Revised,5A,,2022,,,,
