CITY,COUNTY_NAME,CURRENT_DESIGN_FLOW,CWNS_ID,FACILITY_NAME,FACILITY_TYPE,LATITUDE,LONGITUDE,PERMIT_NUMBER,POP_PERCENT_INCREASE,STATE_CODE,TOTAL_RES_POPULATION_2022,TOTAL_RES_POPULATION_2042
Elkmont,Limestone,0.15,1000000161,Elkmont Rural Village-WWTP,Treatment Plant,34.90897,-86.99267,AL0056545,10.0,AL,500.0,550.0
Elkmont,Limestone,0.15,1000000161,Elkmont Rural Village-WWTP,Ocean Discharge,34.90897,-86.99267,AL0056545,10.0,AL,500.0,550.0
Athens,Limestone,0.02,1000000162,Lucy's Branch-WWTP,Collection: Separate Sewers,34.777,-87.226,AL0075248,100.0,AL,100.0,200.0
Athens,Limestone,0.02,1000000162,Lucy's Branch-WWTP,Treatment Plant,34.777,-87.226,AL0075248,100.0,AL,100.0,200.0
Athens,Limestone,0.02,1000000162,Lucy's Branch-WWTP,Ocean Discharge,34.777,-87.226,AL0075248,100.0,AL,100.0,200.0
Irvington,Mobile,0.0,1000000163,St. Elmo-Irvington-WWTP,Collection: Separate Sewers,30.515282,-88.221674,,,AL,0.0,650.0
Irvington,Mobile,0.0,1000000163,St. Elmo-Irvington-WWTP,Treatment Plant,30.515282,-88.221674,,,AL,0.0,650.0
Irvington,Mobile,0.0,1000000163,St. Elmo-Irvington-WWTP,Ocean Discharge,30.515282,-88.221674,,,AL,0.0,650.0
Cullman,Cullman,0.045,1000000164,Town of West Point-WWTP,Collection: Separate Sewers,34.237143,-86.961984,AL0051136,5.66,AL,601.0,635.0
Cullman,Cullman,0.045,1000000164,Town of West Point-WWTP,Collection: Pump Stations,34.237143,-86.961984,AL0051136,5.66,AL,601.0,635.0
Cullman,Cullman,0.045,1000000164,Town of West Point-WWTP,Treatment Plant,34.237143,-86.961984,AL0051136,5.66,AL,601.0,635.0
Cullman,Cullman,0.045,1000000164,Town of West Point-WWTP,Ocean Discharge,34.237143,-86.961984,AL0051136,5.66,AL,601.0,635.0
Guin,,0.025,1000000165,Guin Commercial/Industrial Site-WWTP,Collection: Separate Sewers,34.009722,-87.844167,AL0081337,0.0,AL,1.0,1.0
Guin,,0.025,1000000165,Guin Commercial/Industrial Site-WWTP,Treatment Plant,34.009722,-87.844167,AL0081337,0.0,AL,1.0,1.0
Guin,,0.025,1000000165,Guin Commercial/Industrial Site-WWTP,Ocean Discharge,34.009722,-87.844167,AL0081337,0.0,AL,1.0,1.0
Hanceville,,0.09,1000000166,Dodge City-Lagoon,Collection: Separate Sewers,34.018611,-86.859833,AL0080870,6.76,AL,562.0,600.0
Hanceville,,0.09,1000000166,Dodge City-Lagoon,Treatment Plant,34.018611,-86.859833,AL0080870,6.76,AL,562.0,600.0
Hanceville,,0.09,1000000166,Dodge City-Lagoon,Ocean Discharge,34.018611,-86.859833,AL0080870,6.76,AL,562.0,600.0
Gilbertown,Choctaw,0.06,1000000167,Gilbertown,Collection: Separate Sewers,31.891694,-88.312833,AL0082848,0.41,AL,727.0,730.0
Gilbertown,Choctaw,0.06,1000000167,Gilbertown,Collection: Pump Stations,31.891694,-88.312833,AL0082848,0.41,AL,727.0,730.0
Gilbertown,Choctaw,0.06,1000000167,Gilbertown,Treatment Plant,31.891694,-88.312833,AL0082848,0.41,AL,727.0,730.0
Gilbertown,Choctaw,0.06,1000000167,Gilbertown,Ocean Discharge,31.891694,-88.312833,AL0082848,0.41,AL,727.0,730.0
Grand Bay,Mobile,0.08,1000000168,Grand Bay-WWTP,Collection: Separate Sewers,30.47946,-88.38495,AL0083275,400.0,AL,240.0,1200.0
Grand Bay,Mobile,0.08,1000000168,Grand Bay-WWTP,Treatment Plant,30.47946,-88.38495,AL0083275,400.0,AL,240.0,1200.0
Grand Bay,Mobile,0.08,1000000168,Grand Bay-WWTP,Ocean Discharge,30.47946,-88.38495,AL0083275,400.0,AL,240.0,1200.0
Hayneville,Lowndes,0.09,1000000169,Mosses W&S-WWTP,Collection: Separate Sewers,32.1575,-86.6769,AL0055883,-1.72,AL,814.0,800.0
Hayneville,Lowndes,0.09,1000000169,Mosses W&S-WWTP,Treatment Plant,32.1575,-86.6769,AL0055883,-1.72,AL,814.0,800.0
Hayneville,Lowndes,0.09,1000000169,Mosses W&S-WWTP,Ocean Discharge,32.1575,-86.6769,AL0055883,-1.72,AL,814.0,800.0
Harvest,,0.25,1000000170,Huntsville Magnolia Springs WWTP,Collection: Separate Sewers,34.75382,-86.58467,AL0072435,2.86,AL,875.0,900.0
Harvest,,0.25,1000000170,Huntsville Magnolia Springs WWTP,Treatment Plant,34.75382,-86.58467,AL0072435,2.86,AL,875.0,900.0
Harvest,,0.25,1000000170,Huntsville Magnolia Springs WWTP,Ocean Discharge,34.75382,-86.58467,AL0072435,2.86,AL,875.0,900.0
Birmingham,Jefferson,0.025,1000000171,"Mountain Brook, City of- Senior High School",Collection: Separate Sewers,33.491087,-86.71507,AL0050971,,AL,0.0,0.0
Birmingham,Jefferson,0.025,1000000171,"Mountain Brook, City of- Senior High School",Treatment Plant,33.491087,-86.71507,AL0050971,,AL,0.0,0.0
Birmingham,Jefferson,0.025,1000000171,"Mountain Brook, City of- Senior High School",Ocean Discharge,33.491087,-86.71507,AL0050971,,AL,0.0,0.0
Brookside,Jefferson,0.022,1000000173,Jefferson County Housing Authority-Brookside Village,Collection: Separate Sewers,33.641412,-86.914259,AL0062251,0.0,AL,618.0,618.0
Brookside,Jefferson,0.022,1000000173,Jefferson County Housing Authority-Brookside Village,Treatment Plant,33.641412,-86.914259,AL0062251,0.0,AL,618.0,618.0
Brookside,Jefferson,0.022,1000000173,Jefferson County Housing Authority-Brookside Village,Ocean Discharge,33.641412,-86.914259,AL0062251,0.0,AL,618.0,618.0
Pinson,Jefferson,0.02,1000000174,Jefferson County Housing Authority-Dixie Manor,Collection: Separate Sewers,33.73231,-86.69277,AL0032301,0.0,AL,225.0,225.0
Pinson,Jefferson,0.02,1000000174,Jefferson County Housing Authority-Dixie Manor,Treatment Plant,33.73231,-86.69277,AL0032301,0.0,AL,225.0,225.0
Pinson,Jefferson,0.02,1000000174,Jefferson County Housing Authority-Dixie Manor,Ocean Discharge,33.73231,-86.69277,AL0032301,0.0,AL,225.0,225.0
Selma,Dallas,0.07,1000000176,Valley Grande-Overlook Hills Lagoon,Collection: Separate Sewers,32.453208,-87.019994,AL0056677,0.0,AL,250.0,250.0
Selma,Dallas,0.07,1000000176,Valley Grande-Overlook Hills Lagoon,Collection: Pump Stations,32.453208,-87.019994,AL0056677,0.0,AL,250.0,250.0
Selma,Dallas,0.07,1000000176,Valley Grande-Overlook Hills Lagoon,Treatment Plant,32.453208,-87.019994,AL0056677,0.0,AL,250.0,250.0
Selma,Dallas,0.07,1000000176,Valley Grande-Overlook Hills Lagoon,Ocean Discharge,32.453208,-87.019994,AL0056677,0.0,AL,250.0,250.0
,Autauga,,1000000177,Alabama Cropland Production,Agriculture - Cropland,32.916,-86.704102,,,AL,,
,Montgomery,,1000000178,Alabama Silviculture,Silviculture,32.916,-86.704102,,,AL,,
Hackleburg,Marion,0.1,1000000179,Hackleburg Aerated Lagoon,Collection: Separate Sewers,34.268901,-87.831362,AL0082155,0.0,AL,1430.0,1430.0
Hackleburg,Marion,0.1,1000000179,Hackleburg Aerated Lagoon,Collection: Pump Stations,34.268901,-87.831362,AL0082155,0.0,AL,1430.0,1430.0
Hackleburg,Marion,0.1,1000000179,Hackleburg Aerated Lagoon,Treatment Plant,34.268901,-87.831362,AL0082155,0.0,AL,1430.0,1430.0
Hackleburg,Marion,0.1,1000000179,Hackleburg Aerated Lagoon,Ocean Discharge,34.268901,-87.831362,AL0082155,0.0,AL,1430.0,1430.0
Hope Hull,Montgomery,0.01,1000000181,Pintlala Lagoon,Collection: Separate Sewers,32.23722,-86.35,AL0069884,0.0,AL,30.0,30.0
Hope Hull,Montgomery,0.01,1000000181,Pintlala Lagoon,Treatment Plant,32.23722,-86.35,AL0069884,0.0,AL,30.0,30.0
Hope Hull,Montgomery,0.01,1000000181,Pintlala Lagoon,Ocean Discharge,32.23722,-86.35,AL0069884,0.0,AL,30.0,30.0
Mount Vernon,Mobile,0.095,1000000182,Mount Vernon WWTP,Collection: Separate Sewers,31.075556,-88.021111,AL0080225,0.7,AL,427.0,430.0
Mount Vernon,Mobile,0.095,1000000182,Mount Vernon WWTP,Treatment Plant,31.075556,-88.021111,AL0080225,0.7,AL,427.0,430.0
Mount Vernon,Mobile,0.095,1000000182,Mount Vernon WWTP,Ocean Discharge,31.075556,-88.021111,AL0080225,0.7,AL,427.0,430.0
Pennington,Choctaw,0.095,1000000184,Pennington: Lagoon-Spray Field,Collection: Separate Sewers,32.189933,-88.048711,AL0075701,1.52,AL,330.0,335.0
Pennington,Choctaw,0.095,1000000184,Pennington: Lagoon-Spray Field,Collection: Pump Stations,32.189933,-88.048711,AL0075701,1.52,AL,330.0,335.0
