"CWNS_ID","FACILITY_ID","STATE_CODE","INFRASTRUCTURE_TYPE","FACILITY_NAME","DESCRIPTION","OWNER_TYPE","SUPERFUND_FLAG","SEMS_ID","SCF_ELIGIBLE","REVIEW_STATUS","REVIEW_TYPE","DATE_LAST_MODIFIED","NO_NEEDS"
"06005108001",1175640,"CA","Wastewater","Hughson WWTF","","Public","N","","Y","FA","Partial",01-MAR-23,"Y"
"06005551001",1175825,"CA","Wastewater","Camino Heights Wastewater Treatment Plant","","Public","N","","Y","FA","Partial",01-DEC-22,""
"06008003001",1175947,"CA","Wastewater","San Jacinto Collection System","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06004009003",1175479,"CA","Wastewater","LACSD (San Jose Creek WRP)","","Public","N","","N","FA","Full",29-AUG-22,""
"06004010003",1175493,"CA","Wastewater","L.A.-Glendale WRP","","Public","N","","N","FA","Full",29-AUG-22,""
"06005245002",1175731,"CA","Wastewater","Corning WWTP","","Public","N","","Y","FA","Partial",01-MAR-23,""
"06006008001",1175861,"CA","Wastewater","Tahoe-Truckee WWTP","","Public","N","","N","FA","Full",29-AUG-22,""
"06001009001",1175176,"CA","Wastewater","FORESTVILLE WWTF","","Public","N","","N","FA","Partial",01-MAR-23,"Y"
"06002018001",1175277,"CA","Wastewater","Milpitas Collection System","","Public","N","","N","FA","Full",03-MAY-23,""
"06005032001",1175554,"CA","Wastewater","Woodlake WWTF","","Public","N","","Y","FA","Partial",03-MAY-23,"Y"
"06005367001",1175794,"CA","Wastewater","Malaga WWTF","","Public","N","","Y","FA","Partial",01-MAR-23,"Y"
"06022039001",3347694,"CA","Stormwater","Millbrae Storm Water System","","Public","N","","N","FA","Partial",29-AUG-22,""
"06008010005",3486593,"CA","Wastewater","IEUA Regional Plant No.5","","Public","N","","N","FA","Full",29-AUG-22,""
"06003027001",1175394,"CA","Wastewater","PASO ROBLES WWTP","","Public","N","","N","FA","Full",19-DEC-22,""
"06005187001",1175696,"CA","Wastewater","ANGELS CAMP WWTF","","Public","N","","Y","FA","Partial",01-DEC-22,"Y"
"06005197001",1175701,"CA","Wastewater","MADERA STP","","Public","N","","N","FA","Partial",01-MAR-23,""
"06005421001",1175804,"CA","Wastewater","Lake of the Pines WWTP","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06008033001",1175988,"CA","Wastewater","Michelson WRP","","Public","N","","N","FA","Full",01-DEC-22,""
"06022018001",2838060,"CA","Stormwater","Milpitas Storm Water System","","Public","N","","N","FA","Partial",01-MAR-23,""
"06025000001",3522260,"CA","Stormwater","Livingston Stormwater System","","Public","N","","N","FA","None",03-MAY-23,"Y"
"06002107001",1175346,"CA","Wastewater","Hercules Collection System","","Public","N","","N","FA","Partial",01-MAR-23,"Y"
"06004009006",1175482,"CA","Wastewater","LACSD (Long Beach WRP)","","Public","N","","N","FA","Full",29-AUG-22,""
"06008065001",1176011,"CA","Wastewater","Fullerton, City of (Collection)","","Public","N","","N","FA","Partial",01-MAR-23,""
"06008023006",2942689,"CA","Wastewater","OCSD Collection System No. 6","","Public","N","","N","FA","Full",29-AUG-22,""
"06008023011",2944164,"CA","Wastewater","OCSD Collection System No. 11","","Public","N","","N","FA","Full",29-AUG-22,""
"06004051001",427399,"CA","Wastewater","Vernon Collection System","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06022041002",470876,"CA","Stormwater","City of San Jose (Stormwater)","","Public","N","","N","FA","Partial",29-AUG-22,""
"06002074001",1175336,"CA","Wastewater","ST. HELENA WWTF","","Public","N","","Y","FA","Partial",03-MAY-23,"Y"
"06003012001",1175381,"CA","Wastewater","Monterey One Water (Regional WWTP and Advanced Water Purification Facility)","","Public","N","","N","FA","Full",29-AUG-22,""
"06003047001",1175415,"CA","Wastewater","SAN JUAN BAUTISTA WWTF","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06004010004",1175494,"CA","Wastewater","Tillman WRP","","Public","N","","N","FA","Full",29-AUG-22,""
"06005081001",1175598,"CA","Wastewater","Yuba City WRP","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06005102002",1175625,"CA","Wastewater","Magnolia School Collection System","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06005297001",1175754,"CA","Wastewater","Gustine WWTF","","Public","N","","Y","FA","Partial",01-MAR-23,"Y"
"06008016001",1175967,"CA","Wastewater","Norco Collection System","","Public","N","","N","FA","Partial",29-AUG-22,""
"06001036001",1175202,"CA","Wastewater","WINDSOR WWTF","","Public","N","","N","FA","Full",29-AUG-22,""
"06004011008",1175496,"CA","Wastewater","Port Hueneme Collection System","","Public","N","","N","FA","Partial",13-JUN-23,"Y"
"06005063001",1175584,"CA","Wastewater","Maxwell WWTP","","Public","N","","Y","FA","Partial",01-MAR-23,"Y"
"06005216001",1175710,"CA","Wastewater","Placer Co. Sewer Maint. District #2","","Public","N","","N","FA","Full",01-DEC-22,""
"06005649001",1175839,"CA","Wastewater","SPMUD Collection System","","Public","N","","N","FA","Audit",12-DEC-22,""
"06005033001",1238815,"CA","Wastewater","Williams WWTF","","Public","N","","Y","FA","Partial",03-MAY-23,"Y"
"06008010004",3486590,"CA","Wastewater","IEUA Regional Plant No.4","","Public","N","","Y","FA","Full",29-AUG-22,""
"06008086001",3380875,"CA","Wastewater","Temescal Valley WD WWTP","","Public","N","","N","FA","Partial",01-DEC-22,""
"06029046001",415588,"CA","Stormwater","Del Mar, City of (Stormwater)","","Public","N","","N","FA","Audit",09-MAR-23,""
"06001055001",1175221,"CA","Wastewater","Shelter Cove WWTF","","Public","N","","N","FA","Partial",01-MAR-23,"Y"
"06002010001",1175271,"CA","Wastewater","Burbank Collection System","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06002125001",1175358,"CA","Wastewater","S BAYSIDE WWTP","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06004010001",1175491,"CA","Wastewater","Hyperion WRP","","Public","N","","N","FA","Full",29-AUG-22,""
"06005139001",1175660,"CA","Wastewater","CSA 173 Collection System","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06005169001",1175684,"CA","Wastewater","KNIGHTS LANDING WWTF","","Public","N","","N","FA","Partial",01-MAR-23,""
"06008011001",1175962,"CA","Wastewater","Cucamonga Valley WD Collection System","","Public","N","","N","FA","Partial",01-JUN-22,""
"06025373001",3141043,"CA","Stormwater","Stockton Storm Water System","","Public","N","","N","FA","None",03-MAY-23,"Y"
"06022008001",2865324,"CA","Stormwater","Sunnyvale, City of (Stormwater)","","Public","N","","N","FA","Audit",21-JUN-23,""
"06022175001",3225490,"CA","Stormwater","Alameda Storm Water System","","Public","N","","N","FA","Partial",01-DEC-22,""
"06005019004",395847,"CA","Wastewater","Crossroads Wastewater Treatment Plant","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06001015001",1175184,"CA","Wastewater","MCKINLEYVILLE WWTF","","Public","N","","N","FA","Partial",01-MAR-23,"Y"
"06002025001",1175283,"CA","Wastewater","Central Contra Costa WWTF","","Public","N","","N","FA","Full",29-AUG-22,""
"06002049001",1175309,"CA","Wastewater","Montara Collection System","","Public","N","","N","FA","Partial",01-MAR-23,""
"06002056001",1175312,"CA","Wastewater","Trestle Glen Collection System","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06003009001",1175378,"CA","Wastewater","SOLEDAD WWTF","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06003068001",1175436,"CA","Wastewater","CUYAMA WWTF","","Public","N","","Y","FA","Partial",01-MAR-23,"Y"
"06004010005",1175495,"CA","Wastewater","Los Angeles, City of  (Collection)","","Public","N","","N","FA","Full",29-AUG-22,""
"06005100001",1175620,"CA","Wastewater","Amador City Collection System","","Public","N","","Y","FA","Partial",01-MAR-23,"Y"
"06005299001",1175755,"CA","Wastewater","HAMILTON CITY WWTF","","Public","N","","Y","FA","Partial",01-MAR-23,"Y"
"06005018001",1175539,"CA","Wastewater","PORTOLA WWTF","","Public","N","","Y","FA","Partial",03-MAY-23,"Y"
"06005057001",1175576,"CA","Wastewater","ISLETON WWTF","","Public","N","","Y","FA","Partial",01-MAR-23,"Y"
"06005082016",1175604,"CA","Wastewater","Wilseyville STP","","Public","N","","Y","FA","Partial",03-MAY-23,"Y"
"06008048001",1176002,"CA","Wastewater","La Habra Collection System","","Public","N","","N","FA","Partial",01-MAR-23,"Y"
"06002125002",3509618,"CA","Wastewater","South Bayside System Collection Sys","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06001002001",1175168,"CA","Wastewater","MONTAGUE WWTF","","Public","N","","Y","FA","Partial",01-MAR-23,""
"06002008001",1175269,"CA","Wastewater","Sunnyvale, City of (WPCP)","","Public","N","","N","FA","Full",29-AUG-22,""
"06005060001",1175579,"CA","Wastewater","Nice-Lucerne Collection System","","Public","N","","N","FA","Partial",01-MAR-23,"Y"
"06001085001",1175236,"CA","Wastewater","NEWELL WWTF","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06003018001",1175385,"CA","Wastewater","CASTROVILLE WWTF","","Public","N","","N","FA","Partial",01-MAR-23,""
"06003030001",1175398,"CA","Wastewater","Cambria WQCP","","Public","N","","Y","FA","Partial",01-MAR-23,"Y"
"06003039003",1175406,"CA","Wastewater","Santa Cruz-Aptos Collection System","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06004009002",1175478,"CA","Wastewater","LACSD (Pomona WRP)","","Public","N","","N","FA","Full",29-AUG-22,""
"06001069001",1175228,"CA","Wastewater","LOLETA WWTF","","Public","N","","N","FA","Partial",01-MAR-23,"Y"
"06003037001",1175402,"CA","Wastewater","El Estero Wastewater Treatment Facility","","Public","N","","N","FA","Full",01-DEC-22,""
"06005113001",1175644,"CA","Wastewater","DEL REY WWTF","","Public","N","","Y","FA","Partial",01-MAR-23,""
"06005114001",1175645,"CA","Wastewater","BEAR VALLEY WWTF","","Public","N","","Y","FA","Partial",01-MAR-23,"Y"
"06006004001",1175857,"CA","Wastewater","South Tahoe WWTF","","Public","N","","N","FA","Full",29-AUG-22,""
"06006027001",1175883,"CA","Wastewater","BRIDGEPORT WWTF","","Public","N","","N","FA","Partial",01-MAR-23,"Y"
"06008019001",1175972,"CA","Wastewater","Yucaipa Valley WD WWTP","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06005294001",3478111,"CA","Wastewater","Delleker WWTF","","Public","N","","N","FA","Partial",01-MAR-23,""
"06002033001",1175290,"CA","Wastewater","NAPA SANIT. DIST WWRF","","Public","N","","N","FA","Full",01-DEC-22,""
"06002035001",1175293,"CA","Wastewater","Cupertino SD Collection System","","Public","N","","N","FA","Full",01-DEC-22,"Y"
"06002067001",1175327,"CA","Wastewater","Pittsburg Collection System","","Public","N","","N","FA","Partial",03-MAY-23,""
"06003060001",1175427,"CA","Wastewater","South County Regional Wastewater Treatment and Reclamation Facility","","Public","N","","N","FA","Partial",01-DEC-22,""
"06005490001",1175810,"CA","Wastewater","Martell Collection System","","Public","N","","N","FA","Partial",01-MAR-23,"Y"
"06007019001",1175928,"CA","Wastewater","WESTMORLAND WWTF","","Public","N","","Y","FA","Partial",03-MAY-23,"Y"
"06007041001",1175940,"CA","Wastewater","RIPLEY WWTF","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06008038001",1175992,"CA","Wastewater","OCSD Collection System No. 7","","Public","N","","N","FA","Full",29-AUG-22,""
"06008070001",1176016,"CA","Wastewater","Los Alamitos Collection System","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06008075001",1176021,"CA","Wastewater","Villa Park Collection System","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06002050002",3514039,"CA","Stormwater","Benicia Stormwater System","","Public","N","","N","FA","None",03-MAY-23,"Y"
"06023029001",3378890,"CA","Stormwater","Salinas, City of (Stormwater)","","Public","N","","N","FA","Partial",01-JUN-22,""
"06003094001",406088,"CA","Wastewater","Arroyo Grande Collection System","","Public","N","","N","FA","Partial",01-DEC-22,""
"06008072001",1176018,"CA","Wastewater","Fountain Valley, City of (Collection)","","Public","N","","N","FA","Partial",01-MAR-23,""
"06012001032",2856163,"CA","Stormwater","Stormwater","","Public","N","","N","FA","Partial",01-DEC-22,""
"06002028001",1175286,"CA","Wastewater","SANTA CLARA CSD#3","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06002151001",1175363,"CA","Wastewater","Almonte Collection System","","Public","N","","N","FA","Partial",01-DEC-22,"Y"
"06005082003",1175600,"CA","Wastewater","Arnold STP","","Public","N","","Y","FA","Partial",03-MAY-23,"Y"
"06005179001",1175689,"CA","Wastewater","NEWMAN WWTF","","Public","N","","N","FA","Partial",01-MAR-23,"Y"
"06009015003",1176047,"CA","Wastewater","Ralph W. Chapman WRF","","Public","N","","N","FA","Partial",01-DEC-22,""
"06002176001",412968,"CA","Wastewater","Piedmont Collection System","","Public","N","","N","FA","Partial",01-MAR-23,"Y"
"06003046001",1175414,"CA","Wastewater","Pfeiffer Big Sur WWTF","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06005246001",1175732,"CA","Wastewater","Corcoran WWTF","","Public","N","","N","FA","Partial",01-DEC-22,""
"06009025001",1176057,"CA","Wastewater","Pine Valley WWTF","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06008035001",1175990,"CA","Wastewater","Lake Hemet Collection System","","Public","N","","N","FA","Partial",01-MAR-23,"Y"
"06012001102",3119409,"CA","Stormwater","3-5 Storm Drain Facility","","Public","N","","N","FA","None",03-MAY-23,"Y"
"06002158001",3484151,"CA","Wastewater","San Bruno Collection System","","Public","N","","N","FA","Full",08-MAY-23,""
"06001004001",1175170,"CA","Wastewater","Westport STF","","Public","N","","Y","FA","Partial",03-MAY-23,"Y"
"06002069001",1175329,"CA","Wastewater","Sonoma Valley WWTF","","Public","N","","N","FA","Full",29-AUG-22,""
"06005053001",1175571,"CA","Wastewater","Fresno-Clovis Regional WRF","","Public","N","","N","FA","Full",29-AUG-22,""
"06005335001",1175774,"CA","Wastewater","RICHVALE WWTF","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06029041001",3138044,"CA","Stormwater","Oceanside, City of (Stormwater)","","Public","N","","N","FA","Partial",01-JUN-22,""
"06008023005",2942682,"CA","Wastewater","OCSD Collection System No. 5","","Public","N","","N","FA","Full",29-AUG-22,""
"06002104001",1175345,"CA","Wastewater","Estero Collection System","","Public","N","","N","FA","Partial",01-MAR-23,"Y"
"06002108001",1175347,"CA","Wastewater","Las Gallinas Valley Sanitary District Sewage Treatment Plant","","Public","N","","N","FA","Full",29-AUG-22,""
"06005236001",1175723,"CA","Wastewater","WINTERS WWTF","","Public","N","","Y","FA","Partial",03-MAY-23,"Y"
"06005669001",1175844,"CA","Wastewater","Martis Valley Collection System","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06009018001",1176049,"CA","Wastewater","Solana Beach, City of (Collection)","","Public","N","","N","FA","Partial",01-MAR-23,""
"06005308001",1175759,"CA","Wastewater","LATON WWTP","","Public","N","","N","FA","Partial",01-MAR-23,"Y"
"06007016001",1175924,"CA","Wastewater","DESERT SHORES WWTF","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06008024001",1175978,"CA","Wastewater","COLTON WWTF","","Public","N","","N","FA","Full",01-DEC-22,""
"06001003001",1175169,"CA","Wastewater","WEAVERVILLE WWTF","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06002023001",1175281,"CA","Wastewater","Delta Diablo Wastewater Treatment Plant","","Public","N","","N","FA","Full",29-AUG-22,""
"06002082001",1175340,"CA","Wastewater","BENICIA WWTF","","Public","N","","N","FA","Full",29-AUG-22,""
"06003080001",1175444,"CA","Wastewater","SAN ARDO WWTF","","Public","N","","Y","FA","Partial",03-MAY-23,"Y"
"06005158001",1175676,"CA","Wastewater","ESCALON WWTF","","Public","N","","Y","FA","Partial",01-MAR-23,"Y"
"06007002001",1175909,"CA","Wastewater","EL CENTRO WWTF","","Public","N","","N","FA","Partial",01-DEC-22,""
"06008034001",1175989,"CA","Wastewater","Railroad Canyon WWTP","","Public","N","","N","FA","Partial",29-AUG-22,"Y"
"06009006001",1176037,"CA","Wastewater","South Orange County Wastewater Authority (Coastal Treatment Plant)","","Public","N","","N","FA","Partial",29-AUG-22,""
"06009019001",1176050,"CA","Wastewater","South Orange County Wastewater Authority  (Latham WWTP)","","Public","N","","N","FA","Full",29-AUG-22,""
"06006001003",3483576,"CA","Wastewater","Spring Valley Lake Collection Sys","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06002118001",1175353,"CA","Wastewater","Ellis Creek WRF","","Public","N","","N","FA","Partial",01-DEC-22,""
"06003076001",1175443,"CA","Wastewater","Morgan Hill Collection System","","Public","N","","N","FA","Partial",01-DEC-22,""
"06004006001",1175461,"CA","Wastewater","Ventura Water Reclamation Facility","","Public","N","","N","FA","Full",01-DEC-22,""
"06004027001",1175513,"CA","Wastewater","Oxnard WWTP","","Public","N","","N","FA","Partial",29-AUG-22,""
"06005086001",1175607,"CA","Wastewater","Parlier WWTF","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06005668001",1175843,"CA","Wastewater","Altaville Collection System","","Public","N","","Y","FA","Partial",03-MAY-23,"Y"
"06008007001",1175956,"CA","Wastewater","BIG BEAR AREA REG WWTF","","Public","N","","N","FA","Partial",01-DEC-22,""
"06008016002",1175968,"CA","Wastewater","Home Gardens SD Collection System","","Public","N","","N","FA","Partial",01-MAR-23,"Y"
"06008052001",1176004,"CA","Wastewater","Rialto WWTP","","Public","N","","N","FA","Partial",01-DEC-22,"Y"
"06009009001",1176040,"CA","Wastewater","Buena Collection System","","Public","N","","N","FA","Partial",01-DEC-22,""
"06009077001",1176096,"CA","Wastewater","Moulton Niguel Water District Collection","","Public","N","","N","FA","Full",29-AUG-22,""
"06024007001",474006,"CA","Stormwater","Thousand Oaks Storm Water System","","Public","N","","N","FA","Partial",29-AUG-22,""
"06008023014",2944225,"CA","Wastewater","OCSD Collection System No. 14","","Public","N","","N","FA","Partial",29-AUG-22,"Y"
"06008023003",2945422,"CA","Wastewater","OCSD Collection System No. 3","","Public","N","","N","FA","Full",29-AUG-22,""
"06022003001",2844566,"CA","Stormwater","San Anselmo Storm Water System","","Public","N","","N","FA","None",01-MAR-23,"Y"
"06008010008",410633,"CA","Wastewater","Fontana Collection System","","Public","N","","N","FA","Partial",29-AUG-22,""
"06012004008",412595,"CA","Stormwater","Calleguas Salinity Mngmt. Project","","Public","N","","N","FA","None",01-MAR-23,"Y"
"06028004001",457939,"CA","Stormwater","San Bernardino Storm Water System","","Public","N","","N","FA","None",03-MAY-23,"Y"
"06012001110",3121108,"CA","Stormwater","Earlimart Community Stormwater","","Public","N","","Y","FA","None",03-MAY-23,"Y"
"06002052001",1175310,"CA","Wastewater","Oro Loma Sanitary District (Collection)","","Public","N","","N","FA","Partial",29-AUG-22,""
"06003010001",1175379,"CA","Wastewater","SANTA CRUZ WWTF","","Public","N","","N","FA","Partial",01-DEC-22,""
"06003081001",1175445,"CA","Wastewater","SO SAN LUIS OB CO WWTF","","Public","N","","N","FA","Partial",01-DEC-22,"Y"
"06004001001",1175456,"CA","Wastewater","Glendale Collection System","","Public","N","","N","FA","Partial",29-AUG-22,""
"06004026001",1175512,"CA","Wastewater","Tapia Water Reclamation Facility","","Public","N","","N","FA","Partial",01-MAR-23,"Y"
"06005205001",1175708,"CA","Wastewater","Davis, City of WWTP","","Public","N","","N","FA","Partial",01-DEC-22,""
"06006065001",1175901,"CA","Wastewater","Claremont Collection System","","Public","N","","N","FA","Audit",12-SEP-22,""
"06025011001",2830221,"CA","Stormwater","Chico Storm Water System","","Public","N","","N","FA","Partial",01-DEC-22,""
"06001013001",1175183,"CA","Wastewater","HOPLAND WWTF","","Public","N","","Y","FA","Partial",01-MAR-23,"Y"
"06001045001",1175209,"CA","Wastewater","Laguna Wastewater Treatment Plant","","Public","N","","Y","FA","Full",29-AUG-22,""
"06002085001",1175342,"CA","Wastewater","Homestead Valley Collection System","","Public","N","","N","FA","Partial",01-MAR-23,"Y"
"06005078001",1175596,"CA","Wastewater","Visalia WWTP","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06005300001",1175756,"CA","Wastewater","HILMAR W.T.P.","","Public","N","","N","FA","Partial",01-MAR-23,"Y"
"06006002001",1175855,"CA","Wastewater","SUSANVILLE REG WWTF","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06008100001",1176031,"CA","Wastewater","El Toro Water District (Water Reclamation Plant)","","Public","N","","N","FA","Partial",01-DEC-22,""
"06009008001",1176039,"CA","Wastewater","Alpine Collection System","","Public","N","","N","FA","Partial",01-DEC-22,""
"06012001081",3088272,"CA","Stormwater","Urban Runoff - San Clemente","","Public","N","","N","FA","None",03-MAY-23,"Y"
"06025246001",2821302,"CA","Stormwater","Corcoran Storm Water System","","Public","N","","N","FA","Partial",01-DEC-22,""
"06005279001",1238822,"CA","Wastewater","CHESTER WWTF","","Public","N","","N","FA","Partial",01-MAR-23,"Y"
"06003004001",1175375,"CA","Wastewater","San Luis Obispo WRF","","Public","N","","N","FA","Partial",01-DEC-22,""
"06005060004",1175582,"CA","Wastewater","LAKE CO NW REG WWTP","","Public","N","","N","FA","Partial",01-MAR-23,""
"06006033001",1175886,"CA","Wastewater","Silver Lakes WWTF","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06008058001",1176007,"CA","Wastewater","Garden Grove Collection System","","Public","N","","N","FA","Partial",29-AUG-22,""
"06022044001",2864707,"CA","Stormwater","San Rafael Storm Water System","","Public","N","","N","FA","Partial",01-DEC-22,""
"06006001004",3483670,"CA","Wastewater","High Country Collection System","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06005226001",1175717,"CA","Wastewater","Cutler-Orosi WWTF","","Public","N","","N","FA","Partial",01-MAR-23,"Y"
"06005262001",1175743,"CA","Wastewater","BECKWOURTH WWTF","","Public","N","","N","FA","Partial",03-MAY-23,""
"06006009001",1175862,"CA","Wastewater","Victor Valley Regional WWRP","","Public","N","","N","FA","Full",22-JUN-23,""
"06007010001",1175920,"CA","Wastewater","Blythe Regional WWTF","","Public","N","","N","FA","Partial",01-MAR-23,"Y"
"06009026005",1176061,"CA","Wastewater","Rainbow MWD Collection System","","Public","N","","N","FA","Partial",01-DEC-22,""
"06005058001",1175577,"CA","Wastewater","IVANHOE WWTF","","Public","N","","N","FA","Partial",01-MAR-23,"Y"
"06005232001",1175720,"CA","Wastewater","SHASTA LAKE WWTF","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06008015001",1175965,"CA","Wastewater","Jurupa Collection System","","Public","N","","N","FA","Full",29-AUG-22,""
"06009076001",1176095,"CA","Wastewater","Irvine Ranch Water District (Los Alisos WRP)","","Public","N","","N","FA","Full",01-DEC-22,""
"06007014001",1175922,"CA","Wastewater","IMPERIAL WWTF","","Public","N","","N","FA","Partial",01-DEC-22,""
"06007029001",1175936,"CA","Wastewater","VALLEY SD WWTF","","Public","N","","N","FA","Full",01-DEC-22,""
"06005000002",3514618,"CA","Wastewater","Sacramento Area Sewer District (Collection)","","Public","N","","N","FA","Full",29-AUG-22,""
"06001045003",1175211,"CA","Wastewater","Oakmont WWTP","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06002166001",1175369,"CA","Wastewater","LOG CABIN RANCH WWTF","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06005085001",1175606,"CA","Wastewater","Thermalito Collection System","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06005146001",1175666,"CA","Wastewater","Manteca WQCF","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06005358001",1175791,"CA","Wastewater","Westwood Manor Collection System","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06007030001",1175937,"CA","Wastewater","NEEDLES WWTF","","Public","N","","Y","FA","Partial",01-MAR-23,"Y"
"06008006006",1175954,"CA","Wastewater","Perris Valley Regional WRF","","Public","N","","N","FA","Partial",29-AUG-22,""
"06008020002",1175974,"CA","Wastewater","Corona WWTF #2","","Public","N","","N","FA","Partial",29-AUG-22,"Y"
"06008067001",1176013,"CA","Wastewater","Buena Park Collection System","","Public","N","","N","FA","Partial",01-MAR-23,""
"06009047001",1176085,"CA","Wastewater","Encinitas Collection System","","Public","N","","N","FA","Partial",29-AUG-22,""
"06003033001",3486842,"CA","Wastewater","Heritage Ranch Sewer Treatm Plant","","Public","N","","Y","FA","Partial",01-MAR-23,"Y"
"06022032001",3217908,"CA","Stormwater","San Francisco Storm Water System","","Public","N","","N","FA","Full",29-AUG-22,""
"06001065001",1175224,"CA","Wastewater","Etna Wastewater Treatment Facility","","Public","N","","Y","FA","Partial",01-MAR-23,"Y"
"06001012001",1175182,"CA","Wastewater","GARBERVILLE WWTF","","Public","N","","Y","FA","Partial",01-MAR-23,"Y"
"06004029001",1175514,"CA","Wastewater","CAMARILLO Water Reclamation Plant","","Public","N","","N","FA","Full",25-JAN-23,""
"06005142001",1175663,"CA","Wastewater","ARVIN WWTF","","Public","N","","N","FA","Partial",01-DEC-22,"Y"
