"FACILITY_DOCUMENT_COST_ID","CWNS_ID","FACILITY_ID","STATE_CODE","DOCUMENT_ID","DOCUMENT_TYPE","NEEDS_CATEGORY","COST_METHOD","BASE_AMOUNT","OFFICIAL_AMOUNT","SOLUTION_YEAR_START","SOLUTION_YEAR_END","SSO_FLAG","TREATMENT_PLANT_TYPE","SSA_FLAG"
5403,"06000000084",3607554,"CA",2304,"20","VI-A","Documented",114000000,123700302,,,"","",""
5404,"06000000084",3607554,"CA",2304,"20","VI-B","Documented",9900000,10742395,,,"","",""
4012,"06002008001",1175269,"CA",1251,"3","II","Documented",49500000,55217174,,,"N","",""
4257,"06000000076",3607353,"CA",1370,"20","VI-A","Documented",381600,401599,,,"","",""
4258,"06000000076",3607353,"CA",1370,"20","VI-B","Documented",1440000,1515469,,,"","",""
4259,"06002026001",1175284,"CA",1370,"20","III-B","Documented",5748000,6049245,,,"N","",""
4268,"06023029001",3378890,"CA",1379,"20","VI-A","Documented",840000,846593,,,"","",""
38710,"06001040001",1175205,"CA",14023,"3","II","Documented",1260633,1315875,,,"N","",""
4087,"06009074001",1176093,"CA",1283,"20","II","Documented",53000,55740,,,"N","",""
4088,"06009074001",1176093,"CA",1283,"20","IV-B","Documented",50000,52585,,,"N","",""
4375,"06000000078",3607384,"CA",1471,"20","III-B","Documented",7550000,7830714,,,"N","",""
4376,"06000000078",3607384,"CA",1471,"20","IV-B","Documented",705000,731212,,,"Y","",""
4379,"06009019001",1176050,"CA",1476,"20","I","Documented",54942726,61300444,,,"N","",""
4399,"06009006001",1176037,"CA",1476,"20","II","Documented",25058197,26979292,,,"N","",""
5397,"06000000081",3607551,"CA",2304,"20","II","Documented",31680000,34375663,,,"N","",""
5398,"06000000081",3607551,"CA",2304,"20","IV-A","Documented",7250000,7866905,,,"N","",""
5399,"06000000081",3607551,"CA",2304,"20","X","Documented",775000,840945,,,"","",""
5476,"06002032003",1175289,"CA",2370,"20","I","Documented",528283814,528283814,,,"N","",""
5478,"06000203200",3509698,"CA",2370,"20","III-B","Documented",3571784834,3571784834,,,"N","",""
5480,"06000203200",3509698,"CA",2370,"20","V","Documented",53612094,53612094,,,"","",""
6515,"06000000094",3607861,"CA",2899,"20","VI-C","Documented",4919000,4911973,,,"","",""
5719,"06008006006",1175954,"CA",2501,"20","II","Documented",4122167,4275433,,,"N","",""
5720,"06008006006",1175954,"CA",2501,"20","III-B","Documented",2495000,2587766,,,"N","",""
5722,"06008006006",1175954,"CA",2501,"20","X","Documented",1218000,1263286,,,"","",""
5730,"06008006001",1175950,"CA",2501,"20","II","Documented",18441166,19126823,,,"N","",""
5731,"06008006001",1175950,"CA",2501,"20","X","Documented",429000,444951,,,"","",""
6533,"06006008001",1175861,"CA",2935,"20","II","Documented",38454700,36486874,,,"N","",""
6410,"06008023006",2942689,"CA",2833,"20","III-B","Documented",28100436,32047109,,,"N","",""
6414,"06008023002",2945322,"CA",2833,"20","III-B","Documented",25567297,29158193,,,"N","",""
6424,"06000000092",3607832,"CA",2860,"20","III-B","Documented",5553300,5796650,,,"N","",""
5724,"06008085001",1176028,"CA",2501,"20","II","Documented",6550166,7040110,,,"N","",""
5725,"06008085001",1176028,"CA",2501,"20","III-B","Documented",53272000,57256678,,,"N","",""
5727,"06008085001",1176028,"CA",2501,"20","X","Documented",1886000,2027070,,,"","",""
5140,"06004009004",1175480,"CA",2080,"20","II","Documented",17900000,17217304,,,"N","",""
5141,"06004009004",1175480,"CA",2080,"20","III-B","Documented",70860000,68157441,,,"Y","",""
5142,"06004009004",1175480,"CA",2080,"20","IV-B","Documented",200000,192372,,,"N","",""
18671,"06005240001",1175727,"CA",7431,"3","I","Documented",5800000,5940815,,,"N","",""
5151,"06004009005",1175481,"CA",2080,"20","II","Documented",62752014,60358689,,,"N","",""
5152,"06004009005",1175481,"CA",2080,"20","III-B","Documented",133310000,128225634,,,"Y","",""
5469,"06002032005",443709,"CA",2370,"20","IV-B","Documented",105771275,105771275,,,"N","",""
5477,"06002032002",1175288,"CA",2370,"20","I","Documented",147671134,147671134,,,"N","",""
5525,"06004003001",1175458,"CA",2407,"20","II","Documented",17255000,17147857,,,"N","",""
5526,"06004003001",1175458,"CA",2407,"20","III-B","Documented",13975000,13888224,,,"N","",""
5744,"06008006002",1175951,"CA",2501,"20","II","Documented",26236500,27211994,,,"N","",""
5745,"06008006002",1175951,"CA",2501,"20","III-B","Documented",1392000,1443756,,,"N","",""
5746,"06008006002",1175951,"CA",2501,"20","IV-A","Documented",2229000,2311876,,,"N","",""
6104,"06002156001",1175366,"CA",2658,"20","III-B","Documented",5561510,5823525,,,"N","",""
6529,"06005239001",1175726,"CA",2923,"20","III-B","Documented",2400000,2396571,,,"Y","",""
6530,"06000000095",3607863,"CA",2923,"20","VI-A","Documented",400000,399429,,,"","",""
6621,"06000000096",3607867,"CA",3045,"20","III-B","Documented",12141000,11116524,,,"N","",""
6622,"06000000097",3607868,"CA",3045,"20","VI-C","Documented",21910000,20061201,,,"","",""
6633,"06009047001",1176085,"CA",3056,"20","III-B","Documented",6225000,6216106,,,"N","",""
6634,"06000000101",3607883,"CA",3056,"20","VI-C","Documented",2300000,2296714,,,"","",""
6761,"06002082001",1175340,"CA",3120,"20","I","Documented",1320000,1449149,,,"N","",""
6762,"06002082001",1175340,"CA",3120,"20","III-B","Documented",1300000,1427192,,,"N","",""
6763,"06002082001",1175340,"CA",3120,"20","X","Documented",29408921,32286285,,,"","",""
7296,"06008062001",1176010,"CA",3272,"20","III-B","Documented",49057000,54793881,,,"N","",""
7442,"06008060001",1176008,"CA",3337,"20","III-B","Documented",2625000,2608700,,,"N","",""
7443,"06008060001",1176008,"CA",3337,"20","IV-A","Documented",400000,397516,,,"N","",""
7482,"06004009002",1175478,"CA",3353,"20","II","Documented",41740000,40148061,,,"N","",""
7483,"06004009002",1175478,"CA",3353,"20","III-B","Documented",56505000,54349932,,,"N","",""
7484,"06004009002",1175478,"CA",3353,"20","X","Documented",2400000,2308465,,,"","",""
5323,"06008001001",1175945,"CA",2240,"20","II","Documented",35474506,36708624,,,"N","",""
5324,"06008001001",1175945,"CA",2240,"20","III-B","Documented",28575226,29569326,,,"N","",""
5325,"06008001001",1175945,"CA",2240,"20","IV-A","Documented",16610936,17188812,,,"N","",""
3965,"06008011001",1175962,"CA",1236,"20","III-B","Documented",2195000,2310037,,,"N","",""
3966,"06008011001",1175962,"CA",1236,"20","IV-A","Documented",8760000,9219100,,,"N","",""
3967,"06008011001",1175962,"CA",1236,"20","X","Documented",1655000,1741736,,,"","",""
3480,"06000000065",3606861,"CA",910,"20","II","Documented",3431250,3558826,,,"N","",""
6409,"06008023011",2944164,"CA",2833,"20","III-B","Documented",43033547,49077557,,,"N","",""
6412,"06008023001",2942642,"CA",2833,"20","III-B","Documented",77836719,88768793,,,"N","",""
6413,"06008023001",2942642,"CA",2833,"20","IV-B","Documented",5752622,6560571,,,"N","",""
6383,"06008022002",1175977,"CA",2833,"20","I","Documented",1181957213,1347961685,,,"N","",""
6422,"06021010005",2902596,"CA",2856,"20","VI-C","Documented",12812000,12251674,,,"","",""
6534,"06006008001",1175861,"CA",2935,"20","III-B","Documented",2905000,2756344,,,"N","",""
6415,"06008023003",2945422,"CA",2833,"20","III-B","Documented",143321330,163450639,,,"N","",""
6511,"06000000091",3607829,"CA",2899,"20","II","Documented",19420000,19392254,,,"N","",""
6512,"06000000091",3607829,"CA",2899,"20","III-B","Documented",8190000,8178299,,,"N","",""
6635,"06003012001",1175381,"CA",2280,"3","II","Documented",6656535,7449147,,,"N","",""
6709,"06002174001",3008943,"CA",3085,"20","III-B","Documented",12907000,13456495,,,"N","",""
6710,"06022174001",3009462,"CA",3085,"20","VI-C","Documented",750000,781930,,,"","",""
5953,"06008010003",1175961,"CA",2601,"20","IV-B","Documented",46996500,50511778,,,"N","",""
18260,"06000000190",3609351,"CA",6520,"9","VII-B","Documented",156250,156250,,,"","",""
6751,"06000000075",3607083,"CA",3111,"20","III-B","Documented",1800000,1937867,,,"N","",""
6752,"06000000075",3607083,"CA",3111,"20","IV-B","Documented",75000,80744,,,"N","",""
6753,"06000000075",3607083,"CA",3111,"20","X","Documented",875000,942019,,,"","",""
7107,"06022041002",470876,"CA",2066,"20","VI-A","Documented",4350000,4082159,,,"","",""
7108,"06002041001",1175299,"CA",2066,"20","II","Documented",317338292,308599961,,,"N","",""
7109,"06002041001",1175299,"CA",2066,"20","X","Documented",3666000,3565052,,,"","",""
7129,"06004010002",1175492,"CA",3200,"20","II","Documented",40414754,44316666,,,"N","",""
7320,"06004014001",1175501,"CA",3288,"20","II","Documented",7802000,7528930,,,"N","",""
7426,"06002025001",1175283,"CA",3329,"20","II","Documented",646547000,613533988,,,"N","",""
7427,"06002025001",1175283,"CA",3329,"20","III-B","Documented",268754000,255031287,,,"N","",""
7428,"06002025001",1175283,"CA",3329,"20","X","Documented",2253000,2137961,,,"","",""
7439,"06006004001",1175857,"CA",3335,"20","II","Documented",33645939,32902111,,,"N","",""
7440,"06006004001",1175857,"CA",3335,"20","III-B","Documented",76226463,74541285,,,"N","",""
7441,"06006004001",1175857,"CA",3335,"20","X","Documented",3294680,3221843,,,"","",""
7485,"06004009010",1175486,"CA",3353,"20","II","Documented",76920000,73986316,,,"N","",""
7486,"06004009010",1175486,"CA",3353,"20","III-B","Documented",51880000,49901327,,,"N","",""
7494,"06004009009",1175485,"CA",3353,"20","II","Documented",206950000,199057047,,,"N","",""
7495,"06004009009",1175485,"CA",3353,"20","III-B","Documented",72420000,69657943,,,"N","",""
7496,"06004009009",1175485,"CA",3353,"20","X","Documented",22250000,21401398,,,"","",""
6801,"06002032004",442052,"CA",2370,"20","I","Documented",132810000,132810000,,,"N","",""
6947,"06006012501",3533076,"CA",3154,"20","III-B","Documented",1300000,1291928,,,"N","",""
7220,"06002084001",1175341,"CA",3245,"20","III-B","Documented",26000000,24535323,,,"N","",""
7505,"06005010001",1175530,"CA",3359,"20","II","Documented",6950000,6364300,,,"N","",""
7506,"06005010001",1175530,"CA",3359,"20","III-B","Documented",6329000,5795634,,,"N","",""
6404,"06008023005",2942682,"CA",2833,"20","III-B","Documented",42914738,48942061,,,"N","",""
6406,"06008038001",1175992,"CA",2833,"20","III-B","Documented",82308050,93868117,,,"N","",""
6420,"06001010005",1175180,"CA",2856,"20","III-B","Documented",12926076,12809078,,,"N","",""
6509,"06000000093",3607833,"CA",2860,"20","VI-C","Documented",267784,279518,,,"","",""
8113,"06008022001",1175976,"CA",3654,"20","I","Documented",788498068,899241676,,,"N","",""
7849,"06004010005",1175495,"CA",3503,"20","III-B","Documented",573097143,628427793,,,"N","",""
7912,"06000000112",3608022,"CA",3527,"20","X","Documented",23600000,24820094,,,"","",""
8264,"06000000116",3608102,"CA",3292,"20","I","Documented",265000,264621,,,"N","",""
7929,"06008010006",3486596,"CA",3536,"20","II","Documented",32639853,35081272,,,"N","",""
7930,"06008010006",3486596,"CA",3536,"20","X","Documented",74267175,79822265,,,"","",""
7941,"06008010004",3486590,"CA",3536,"20","II","Documented",124584500,133903262,,,"N","",""
8260,"06000000114",3608100,"CA",3292,"20","I","Documented",265000,264621,,,"N","",""
8346,"06004007001",1175462,"CA",3811,"20","II","Documented",3593000,3717996,,,"N","",""
8347,"06004007001",1175462,"CA",3811,"20","III-B","Documented",5430000,5618904,,,"N","",""
8372,"06001045001",1175209,"CA",3829,"20","II","Documented",32600000,33572616,,,"N","",""
8373,"06001045001",1175209,"CA",3829,"20","III-B","Documented",19269500,19844402,,,"N","",""
8666,"06009032001",1176070,"CA",4056,"20","II","Documented",1033960,946824,,,"N","",""
8667,"06009032001",1176070,"CA",4056,"20","III-B","Documented",15149880,13873149,,,"N","",""
8669,"06000000120",3608161,"CA",4056,"20","VI-A","Documented",6965900,6378860,,,"","",""
8675,"06000000068",3606909,"CA",4061,"3","II","Documented",25999900,28077427,,,"N","",""
8677,"06002052001",1175310,"CA",4064,"3","III-B","Documented",25000000,26095520,,,"N","",""
8693,"06002023001",1175281,"CA",4080,"20","II","Documented",95327000,98171066,,,"N","",""
8694,"06002023001",1175281,"CA",4080,"20","III-B","Documented",100000,102983,,,"N","",""
8743,"06004001001",1175456,"CA",4099,"20","III-B","Documented",14462000,14372200,,,"N","",""
8697,"06008010008",410633,"CA",4082,"20","III-B","Documented",3118000,3098639,,,"N","",""
7937,"06008010001",1175959,"CA",3536,"20","II","Documented",248347600,266923684,,,"N","",""
7938,"06008010001",1175959,"CA",3536,"20","X","Documented",74267175,79822265,,,"","",""
7201,"06002069001",1175329,"CA",3236,"20","II","Documented",15767000,14960162,,,"N","",""
7202,"06002069001",1175329,"CA",3236,"20","III-B","Documented",25487000,24182764,,,"N","",""
7203,"06002069001",1175329,"CA",3236,"20","X","Documented",829000,786578,,,"","",""
7402,"06000000090",3607791,"CA",3317,"20","X","Documented",120000000,113872740,,,"","",""
7479,"06005227002",3520617,"CA",3349,"20","II","Documented",1340000,1226929,,,"N","",""
7480,"06005227002",3520617,"CA",3349,"20","III-B","Documented",75000,68671,,,"N","",""
7677,"06003028001",1175395,"CA",3415,"20","I","Documented",349000,369736,,,"N","",""
7678,"06003028001",1175395,"CA",3415,"20","II","Documented",4960000,5254701,,,"N","",""
7679,"06003028001",1175395,"CA",3415,"20","III-B","Documented",722000,764898,,,"N","",""
7690,"06002081001",1175339,"CA",3428,"20","I","Documented",404421000,383771062,,,"N","",""
7691,"06002081001",1175339,"CA",3428,"20","III-B","Documented",148977500,141370635,,,"N","",""
7692,"06002081001",1175339,"CA",3428,"20","IV-B","Documented",19132750,18155822,,,"N","",""
7722,"06002081001",1175339,"CA",3428,"20","II","Documented",287300500,272630793,,,"N","",""
7321,"06004014001",1175501,"CA",3288,"20","III-B","Documented",3150000,3039750,,,"N","",""
7322,"06004014001",1175501,"CA",3288,"20","X","Documented",8043000,7761495,,,"","",""
24932,"06005159001",1175677,"CA",9798,"20","I","Documented",2000000,2118831,,,"N","Secondary Mechanical",""
24933,"06005159001",1175677,"CA",9798,"20","III-B","Documented",1620000,1716253,,,"N","",""
7189,"06002108001",1175347,"CA",3232,"20","II","Documented",60850217,57736354,,,"N","",""
7190,"06002108001",1175347,"CA",3232,"20","III-B","Documented",38111522,36161257,,,"N","",""
7191,"06002108001",1175347,"CA",3232,"20","X","Documented",4155000,3942378,,,"","",""
7509,"06005010002",1175531,"CA",3359,"20","II","Documented",16390000,15008759,,,"N","",""
7510,"06005010002",1175531,"CA",3359,"20","III-B","Documented",7760000,7106039,,,"N","",""
7530,"06000000108",3607994,"CA",3366,"20","VI-C","Documented",80000,79886,,,"","",""
7680,"06006009001",1175862,"CA",3418,"20","II","Documented",121850000,115614620,,,"N","",""
7681,"06006009001",1175862,"CA",3418,"20","III-B","Documented",120800000,114618352,,,"N","",""
6933,"06009031002",1176067,"CA",3148,"20","II","Documented",38988867,35703143,,,"N","",""
7030,"06000000104",3607926,"CA",3185,"20","III-A","Documented",9540696,9481454,,,"N","",""
7031,"06000000104",3607926,"CA",3185,"20","III-B","Documented",10612989,10547089,,,"N","",""
7123,"06002032005",443709,"CA",2377,"3","V","Documented",45000000,46690261,,,"","",""
8942,"06000000086",3607691,"CA",3415,"20","VI-C","Documented",3765000,3988699,,,"","",""
9113,"06009077001",1176096,"CA",4243,"20","III-B","Documented",93204338,93204338,,,"N","",""
9114,"06009077001",1176096,"CA",4243,"20","IV-B","Documented",1250000,1250000,,,"N","",""
9117,"06000000117",3608103,"CA",4245,"20","II","Documented",28100000,32885408,,,"N","",""
9118,"06000000117",3608103,"CA",4245,"20","X","Documented",72000000,84261543,,,"","",""
9014,"06000000126",3608299,"CA",4223,"20","III-B","Documented",4230000,3873524,,,"N","",""
9102,"06000000125",3608290,"CA",4187,"20","X","Documented",400000,366247,,,"","",""
8173,"06008015001",1175965,"CA",3699,"3","X","Documented",31700000,33885617,,,"","",""
8267,"06000000115",3608101,"CA",3292,"20","I","Documented",265000,264621,,,"N","",""
8314,"06004027001",1175513,"CA",3797,"20","I","Documented",31388000,35447684,,,"N","",""
8317,"06000000118",3608104,"CA",3797,"20","VI-A","Documented",4551000,5139621,,,"","",""
8318,"06000000118",3608104,"CA",3797,"20","VI-B","Documented",1850000,2089277,,,"","",""
8352,"06024007001",474006,"CA",3811,"20","VI-A","Documented",1600000,1597714,,,"","",""
8353,"06024007001",474006,"CA",3811,"20","VI-B","Documented",600000,599142,,,"","",""
8704,"06008058001",1176007,"CA",4087,"20","III-B","Documented",21309980,22549969,,,"N","",""
8817,"06005053001",1175571,"CA",4142,"20","II","Documented",117544150,121051061,,,"N","",""
8818,"06005053001",1175571,"CA",4142,"20","III-B","Documented",80498000,82899645,,,"N","",""
8819,"06005053001",1175571,"CA",4142,"20","X","Documented",13854150,14267486,,,"","",""
8348,"06004007001",1175462,"CA",3809,"20","II","Documented",43929000,47849023,,,"N","",""
8384,"06009075001",1176094,"CA",3833,"20","II","Documented",85775000,85775000,,,"N","",""
8385,"06009075001",1176094,"CA",3833,"20","X","Documented",31055000,31055000,,,"","",""
8386,"06005077001",1175595,"CA",3834,"20","II","Documented",1033000,1071408,,,"N","",""
8387,"06005077001",1175595,"CA",3834,"20","III-B","Documented",2108000,2186377,,,"N","",""
7920,"06000000113",3608023,"CA",3527,"20","VI-A","Documented",675000,709896,,,"","",""
7931,"06008010005",3486593,"CA",3536,"20","II","Documented",238400000,256232016,,,"N","",""
7932,"06008010005",3486593,"CA",3536,"20","X","Documented",74267175,79822265,,,"","",""
7942,"06008010004",3486590,"CA",3536,"20","X","Documented",80567175,86593497,,,"","",""
8745,"06000000098",3607877,"CA",4097,"20","I","Documented",670000,669043,,,"N","",""
8746,"06000000098",3607877,"CA",4097,"20","II","Documented",9000000,8987142,,,"N","",""
8747,"06008041002",1175996,"CA",4100,"20","II","Documented",66050000,79457720,,,"N","",""
8748,"06008041002",1175996,"CA",4100,"20","X","Documented",66050000,79457720,,,"","",""
9470,"06000000129",3608381,"CA",4360,"20","VI-C","Documented",10897737,9979348,,,"","",""
7995,"06008015001",1175965,"CA",3560,"20","III-B","Documented",31660000,32537352,,,"N","",""
8134,"06029031001",402846,"CA",3665,"20","VI-A","Documented",412910869,391827435,,,"","",""
8135,"06029031001",402846,"CA",3665,"20","VI-B","Documented",1311403448,1244442535,,,"","",""
8138,"06000000102",3607908,"CA",3665,"20","II","Documented",1988022928,1886513488,,,"N","",""
8139,"06000000102",3607908,"CA",3665,"20","X","Documented",1988022928,1886513488,,,"","",""
8268,"06009007001",1176038,"CA",3768,"20","III-B","Documented",6474000,7383131,,,"N","",""
7104,"06000000080",3607474,"CA",2066,"20","III-A","Documented",1000000,972464,,,"N","",""
7126,"06004010001",1175491,"CA",3200,"20","II","Documented",27206769,29833493,,,"N","",""
7127,"06004010004",1175494,"CA",3200,"20","II","Documented",132501601,145294196,,,"N","",""
7128,"06004010003",1175493,"CA",3200,"20","II","Documented",142881762,156676528,,,"N","",""
7325,"06002036001",1175294,"CA",3292,"20","II","Documented",281021000,290797406,,,"N","",""
7326,"06002036001",1175294,"CA",3292,"20","III-B","Documented",40782000,42200760,,,"N","",""
7487,"06004009003",1175479,"CA",3353,"20","II","Documented",140725564,135358373,,,"N","",""
7488,"06004009003",1175479,"CA",3353,"20","III-B","Documented",107007000,102925815,,,"N","",""
7489,"06004009003",1175479,"CA",3353,"20","IV-B","Documented",30000000,28855817,,,"N","",""
7491,"06004009008",1175484,"CA",3353,"20","II","Documented",97792290,94062549,,,"N","",""
7492,"06004009008",1175484,"CA",3353,"20","III-B","Documented",19900000,19141026,,,"N","",""
7493,"06004009008",1175484,"CA",3353,"20","IV-A","Documented",90000,86567,,,"N","",""
7497,"06008068001",1176014,"CA",3357,"20","III-B","Documented",14134285,13119380,,,"Y","",""
7528,"06008016001",1175967,"CA",3366,"20","III-B","Documented",3380000,3375170,,,"N","",""
7683,"06002110001",1175349,"CA",3420,"20","III-B","Documented",13737000,14070513,,,"N","",""
7125,"06004010001",1175491,"CA",3200,"20","I","Documented",67856308,74407612,,,"N","",""
7130,"06024000001",3500317,"CA",3200,"20","VI-A","Documented",3439380,3639441,,,"","",""
7131,"06024000001",3500317,"CA",3200,"20","VI-B","Documented",7278000,7701344,,,"","",""
7390,"06000000105",3607961,"CA",3302,"20","II","Documented",5870000,5664550,,,"N","",""
7434,"06000000106",3607985,"CA",3334,"20","III-B","Documented",3650000,3342007,,,"N","",""
8137,"06009031001",1176066,"CA",3665,"20","I","Documented",38988867,35703143,,,"N","",""
8360,"06005000002",3514618,"CA",3821,"24","III-B","Documented",153956000,166175593,,,"N","",""
8361,"06005000002",3514618,"CA",3821,"24","IV-B","Documented",1143200000,1233936568,,,"N","",""
8388,"06000000119",3608134,"CA",3834,"20","VI-A","Documented",1190000,1234245,,,"","",""
8120,"06000000107",3607986,"CA",3659,"20","VI-A","Documented",47640000,45202138,,,"","",""
8121,"06000000107",3607986,"CA",3659,"20","VI-B","Documented",2300000,2182303,,,"","",""
8125,"06008004001",1175948,"CA",3283,"20","II","Documented",222963000,244489347,,,"N","",""
8126,"06000000103",3607909,"CA",3665,"20","III-B","Documented",536045718,508674957,,,"Y","",""
8159,"06008015001",1175965,"CA",3560,"20","IV-B","Documented",9800000,10071574,,,"N","",""
8898,"06005122002",1175653,"CA",4178,"20","III-B","Documented",9703000,9105561,,,"N","",""
9471,"06005235001",1175722,"CA",4360,"20","I","Documented",1623000,1486224,,,"N","",""
9472,"06005235001",1175722,"CA",4360,"20","III-B","Documented",327500,299901,,,"N","",""
8741,"06000000100",3607879,"CA",4097,"20","III-B","Documented",325000,324535,,,"N","",""
8742,"06000000100",3607879,"CA",4097,"20","IV-B","Documented",180000,179743,,,"N","",""
