"FACILITY_DOCUMENT_ID","DOCUMENT_ID","CWNS_ID","FACILITY_ID","STATE_CODE","DOCUMENT_TYPE_ID","DOCUMENT_TYPE","PUBLISHED_DATE","BASE_MONTH_COST_INFO","CERT_FLAG","SELF_CERT_FLAG","AGE_CERT"
1266,1016,"06008020003",3518636,"CA","96","Excel Spreadsheet Annotations",03-MAY-22,01-MAY-22,"","",""
1256,1012,"06002029001",1175287,"CA","20","CIP or Master Plan",01-JAN-22,01-JAN-22,"","",""
1257,1013,"06002029001",1175287,"CA","96","Excel Spreadsheet Annotations",03-MAY-22,01-MAY-22,"","",""
1144,911,"06005065001",1175586,"CA","96","Excel Spreadsheet Annotations",01-JAN-21,01-JAN-21,"","",""
1148,911,"06000000066",3606862,"CA","96","Excel Spreadsheet Annotations",01-JAN-21,01-JAN-21,"","",""
1146,911,"06000000065",3606861,"CA","96","Excel Spreadsheet Annotations",01-JAN-21,01-JAN-21,"","",""
1513,1236,"06008011001",1175962,"CA","20","CIP or Master Plan",23-JUN-20,01-JUN-20,"","",""
1528,1250,"06002008001",1175269,"CA","3","CWSRF Loan Pre-applications/Final Applications",19-NOV-18,01-NOV-18,"","",""
1529,1251,"06002008001",1175269,"CA","3","CWSRF Loan Pre-applications/Final Applications",19-NOV-18,01-NOV-18,"","",""
1514,1237,"06008011001",1175962,"CA","96","Excel Spreadsheet Annotations",03-MAY-22,01-MAY-22,"","",""
1260,1015,"06008020001",1175973,"CA","20","CIP or Master Plan",01-JAN-21,01-JAN-21,"","",""
1267,1015,"06008020003",3518636,"CA","20","CIP or Master Plan",01-JAN-21,01-JAN-21,"","",""
1143,910,"06005065001",1175586,"CA","20","CIP or Master Plan",01-JAN-21,01-JAN-21,"","",""
1147,910,"06000000066",3606862,"CA","20","CIP or Master Plan",01-JAN-21,01-JAN-21,"","",""
1145,910,"06000000065",3606861,"CA","20","CIP or Master Plan",01-JAN-21,01-JAN-21,"","",""
1794,1476,"06009006001",1176037,"CA","20","CIP or Master Plan",01-AUG-19,01-JUN-18,"","",""
1778,1476,"06009019001",1176050,"CA","20","CIP or Master Plan",01-AUG-19,01-JUN-18,"","",""
1798,1476,"06000000073",3607081,"CA","20","CIP or Master Plan",01-AUG-19,01-JUN-18,"","",""
1774,1473,"06000000078",3607384,"CA","96","Excel Spreadsheet Annotations",19-MAY-22,01-MAY-22,"","",""
1773,1471,"06000000078",3607384,"CA","20","CIP or Master Plan",01-JAN-21,01-JAN-21,"","",""
1793,1477,"06009006001",1176037,"CA","96","Excel Spreadsheet Annotations",25-MAY-22,01-MAY-22,"","",""
1779,1477,"06009019001",1176050,"CA","96","Excel Spreadsheet Annotations",25-MAY-22,01-MAY-22,"","",""
1797,1477,"06000000073",3607081,"CA","96","Excel Spreadsheet Annotations",25-MAY-22,01-MAY-22,"","",""
2015,1734,"06000000068",3606909,"CA","20","CIP or Master Plan",15-JUN-21,01-JUN-21,"","",""
2021,1736,"06000000068",3606909,"CA","96","Excel Spreadsheet Annotations",26-MAY-22,01-MAY-22,"","",""
1677,1370,"06000000076",3607353,"CA","20","CIP or Master Plan",02-JUN-20,01-JUN-20,"","",""
1681,1370,"06002026001",1175284,"CA","20","CIP or Master Plan",02-JUN-20,01-JUN-20,"","",""
2481,2277,"06003012001",1175381,"CA","20","CIP or Master Plan",28-JUN-21,01-JUN-21,"","",""
2482,2278,"06003012001",1175381,"CA","96","Excel Spreadsheet Annotations",13-JUN-22,01-JUN-22,"","",""
2484,2280,"06003012001",1175381,"CA","3","CWSRF Loan Pre-applications/Final Applications",21-DEC-18,01-DEC-18,"","",""
2485,2281,"06003012001",1175381,"CA","3","CWSRF Loan Pre-applications/Final Applications",24-MAY-19,01-MAY-19,"","",""
3588,3236,"06002069001",1175329,"CA","20","CIP or Master Plan",01-JUN-22,01-JUN-22,"","",""
2456,2241,"06008001001",1175945,"CA","96","Excel Spreadsheet Annotations",13-JUN-22,01-JUN-22,"","",""
2455,2240,"06008001001",1175945,"CA","20","CIP or Master Plan",22-JUN-21,01-JUN-21,"","",""
2483,2279,"06003012001",1175381,"CA","3","CWSRF Loan Pre-applications/Final Applications",31-MAR-22,01-MAR-22,"","",""
2514,2305,"06000000081",3607551,"CA","96","Excel Spreadsheet Annotations",14-JUN-22,01-JUN-22,"","",""
2516,2305,"06000000083",3607553,"CA","96","Excel Spreadsheet Annotations",14-JUN-22,01-JUN-22,"","",""
2519,2305,"06000000084",3607554,"CA","96","Excel Spreadsheet Annotations",14-JUN-22,01-JUN-22,"","",""
2513,2305,"06000000082",3607552,"CA","96","Excel Spreadsheet Annotations",14-JUN-22,01-JUN-22,"","",""
2608,2407,"06004003001",1175458,"CA","20","CIP or Master Plan",01-JUL-21,01-JUL-21,"","",""
2615,2407,"06000000085",3607599,"CA","20","CIP or Master Plan",01-JUL-21,01-JUL-21,"","",""
2582,2370,"06000203200",3509698,"CA","20","CIP or Master Plan",14-JAN-22,01-JAN-22,"","",""
2584,2370,"06022032001",3217908,"CA","20","CIP or Master Plan",14-JAN-22,01-JAN-22,"","",""
2571,2370,"06002032005",443709,"CA","20","CIP or Master Plan",14-JAN-22,01-JAN-22,"","",""
2578,2370,"06002032003",1175289,"CA","20","CIP or Master Plan",14-JAN-22,01-JAN-22,"","",""
2574,2370,"06002032004",442052,"CA","20","CIP or Master Plan",14-JAN-22,01-JAN-22,"","",""
2580,2370,"06002032002",1175288,"CA","20","CIP or Master Plan",14-JAN-22,01-JAN-22,"","",""
2585,2377,"06002032005",443709,"CA","3","CWSRF Loan Pre-applications/Final Applications",15-DEC-21,01-DEC-21,"","",""
2790,2502,"06008006006",1175954,"CA","96","Excel Spreadsheet Annotations",14-JUN-22,01-JUN-22,"","",""
2815,2502,"06008006002",1175951,"CA","96","Excel Spreadsheet Annotations",14-JUN-22,01-JUN-22,"","",""
2799,2502,"06008006001",1175950,"CA","96","Excel Spreadsheet Annotations",14-JUN-22,01-JUN-22,"","",""
2795,2502,"06008085001",1176028,"CA","96","Excel Spreadsheet Annotations",14-JUN-22,01-JUN-22,"","",""
1930,1625,"06002038001",1175296,"CA","20","CIP or Master Plan",24-MAY-21,01-MAY-21,"","",""
1931,1626,"06002038001",1175296,"CA","96","Excel Spreadsheet Annotations",24-MAY-22,01-MAY-22,"","",""
3533,2068,"06002041001",1175299,"CA","96","Excel Spreadsheet Annotations",01-JUN-22,01-JUN-22,"","",""
2313,2068,"06022041002",470876,"CA","96","Excel Spreadsheet Annotations",01-JUN-22,01-JUN-22,"","",""
2309,2068,"06000000080",3607474,"CA","96","Excel Spreadsheet Annotations",01-JUN-22,01-JUN-22,"","",""
2350,2080,"06004009006",1175482,"CA","20","CIP or Master Plan",19-MAY-22,01-MAY-22,"","",""
2340,2080,"06004009004",1175480,"CA","20","CIP or Master Plan",19-MAY-22,01-MAY-22,"","",""
2358,2080,"06004009007",1175483,"CA","20","CIP or Master Plan",19-MAY-22,01-MAY-22,"","",""
2346,2080,"06004009005",1175481,"CA","20","CIP or Master Plan",19-MAY-22,01-MAY-22,"","",""
2317,2080,"06004009001",1175477,"CA","20","CIP or Master Plan",19-MAY-22,01-MAY-22,"","",""
2356,2080,"06004009014",3482611,"CA","20","CIP or Master Plan",19-MAY-22,01-MAY-22,"","",""
2349,2081,"06004009006",1175482,"CA","96","Excel Spreadsheet Annotations",02-JUN-22,01-JUN-22,"","",""
2339,2081,"06004009004",1175480,"CA","96","Excel Spreadsheet Annotations",02-JUN-22,01-JUN-22,"","",""
2357,2081,"06004009007",1175483,"CA","96","Excel Spreadsheet Annotations",02-JUN-22,01-JUN-22,"","",""
2345,2081,"06004009005",1175481,"CA","96","Excel Spreadsheet Annotations",02-JUN-22,01-JUN-22,"","",""
2318,2081,"06004009001",1175477,"CA","96","Excel Spreadsheet Annotations",02-JUN-22,01-JUN-22,"","",""
2355,2081,"06004009014",3482611,"CA","96","Excel Spreadsheet Annotations",02-JUN-22,01-JUN-22,"","",""
3532,2066,"06002041001",1175299,"CA","20","CIP or Master Plan",29-APR-22,01-APR-22,"","",""
2312,2066,"06022041002",470876,"CA","20","CIP or Master Plan",29-APR-22,01-APR-22,"","",""
2307,2066,"06000000080",3607474,"CA","20","CIP or Master Plan",29-APR-22,01-APR-22,"","",""
2515,2304,"06000000081",3607551,"CA","20","CIP or Master Plan",01-JUL-20,01-JUL-20,"","",""
2517,2304,"06000000083",3607553,"CA","20","CIP or Master Plan",01-JUL-20,01-JUL-20,"","",""
2520,2304,"06000000084",3607554,"CA","20","CIP or Master Plan",01-JUL-20,01-JUL-20,"","",""
2512,2304,"06000000082",3607552,"CA","20","CIP or Master Plan",01-JUL-20,01-JUL-20,"","",""
2789,2501,"06008006006",1175954,"CA","20","CIP or Master Plan",01-JAN-21,01-JAN-21,"","",""
2814,2501,"06008006002",1175951,"CA","20","CIP or Master Plan",01-JAN-21,01-JAN-21,"","",""
2798,2501,"06008006001",1175950,"CA","20","CIP or Master Plan",01-JAN-21,01-JAN-21,"","",""
2794,2501,"06008085001",1176028,"CA","20","CIP or Master Plan",01-JAN-21,01-JAN-21,"","",""
2581,2371,"06000203200",3509698,"CA","96","Excel Spreadsheet Annotations",08-JUN-22,01-JUN-22,"","",""
2583,2371,"06022032001",3217908,"CA","96","Excel Spreadsheet Annotations",08-JUN-22,01-JUN-22,"","",""
2572,2371,"06002032005",443709,"CA","96","Excel Spreadsheet Annotations",08-JUN-22,01-JUN-22,"","",""
2577,2371,"06002032003",1175289,"CA","96","Excel Spreadsheet Annotations",08-JUN-22,01-JUN-22,"","",""
2573,2371,"06002032004",442052,"CA","96","Excel Spreadsheet Annotations",08-JUN-22,01-JUN-22,"","",""
2579,2371,"06002032002",1175288,"CA","96","Excel Spreadsheet Annotations",08-JUN-22,01-JUN-22,"","",""
2610,2409,"06004003001",1175458,"CA","96","Excel Spreadsheet Annotations",09-JUN-22,01-JUN-22,"","",""
2614,2409,"06000000085",3607599,"CA","96","Excel Spreadsheet Annotations",09-JUN-22,01-JUN-22,"","",""
2909,2601,"06008010003",1175961,"CA","20","CIP or Master Plan",01-JAN-21,01-JAN-21,"","",""
2942,2611,"06004009006",1175482,"CA","20","CIP or Master Plan",19-MAY-22,01-MAY-22,"","",""
2938,2611,"06004009004",1175480,"CA","20","CIP or Master Plan",19-MAY-22,01-MAY-22,"","",""
2940,2611,"06004009007",1175483,"CA","20","CIP or Master Plan",19-MAY-22,01-MAY-22,"","",""
2943,2611,"06004009005",1175481,"CA","20","CIP or Master Plan",19-MAY-22,01-MAY-22,"","",""
2936,2611,"06004009001",1175477,"CA","20","CIP or Master Plan",19-MAY-22,01-MAY-22,"","",""
2941,2611,"06004009014",3482611,"CA","20","CIP or Master Plan",19-MAY-22,01-MAY-22,"","",""
3413,3120,"06002082001",1175340,"CA","20","CIP or Master Plan",28-MAY-19,01-MAY-19,"","",""
3223,2856,"06021010005",2902596,"CA","20","CIP or Master Plan",01-FEB-22,01-FEB-22,"","",""
3221,2856,"06001010005",1175180,"CA","20","CIP or Master Plan",01-FEB-22,01-FEB-22,"","",""
3224,2857,"06021010005",2902596,"CA","96","Excel Spreadsheet Annotations",29-JUN-22,01-JUN-22,"","",""
3227,2861,"06000000092",3607832,"CA","96","Excel Spreadsheet Annotations",29-JUN-22,01-JUN-22,"","",""
3249,2861,"06000000093",3607833,"CA","96","Excel Spreadsheet Annotations",29-JUN-22,01-JUN-22,"","",""
2910,2602,"06008010003",1175961,"CA","96","Excel Spreadsheet Annotations",16-JUN-22,01-JUN-22,"","",""
3028,2658,"06002156001",1175366,"CA","20","CIP or Master Plan",16-JUL-20,01-JUL-20,"","",""
3030,2659,"06002156001",1175366,"CA","96","Excel Spreadsheet Annotations",24-JUN-22,01-JUN-22,"","",""
7623,5529,"06008100001",1176031,"CA","20","CIP or Master Plan",24-MAY-21,01-MAY-21,"","",""
5861,4734,"06005126001",1175657,"CA","20","CIP or Master Plan",01-JUL-22,01-JUL-22,"","",""
5859,4734,"06000000135",3608519,"CA","20","CIP or Master Plan",01-JUL-22,01-JUL-22,"","",""
5925,4766,"06022012001",3514318,"CA","96","Excel Spreadsheet Annotations",16-AUG-22,01-AUG-22,"","",""
5929,4766,"06002012001",1175273,"CA","96","Excel Spreadsheet Annotations",16-AUG-22,01-AUG-22,"","",""
3505,3186,"06000000104",3607926,"CA","96","Excel Spreadsheet Annotations",06-JUL-22,01-JUL-22,"","",""
3544,3201,"06004010003",1175493,"CA","96","Excel Spreadsheet Annotations",07-JUL-22,01-JUL-22,"","",""
3542,3201,"06004010004",1175494,"CA","96","Excel Spreadsheet Annotations",07-JUL-22,01-JUL-22,"","",""
5803,4700,"06001036001",1175202,"CA","20","CIP or Master Plan",16-JUN-21,01-JUN-21,"","",""
5806,4700,"06000000134",3608500,"CA","20","CIP or Master Plan",16-JUN-21,01-JUN-21,"","",""
4936,4224,"06000000127",3608300,"CA","96","Excel Spreadsheet Annotations",29-JUL-22,01-JUL-22,"","",""
4935,4224,"06000000126",3608299,"CA","96","Excel Spreadsheet Annotations",29-JUL-22,01-JUL-22,"","",""
4939,4226,"06000000087",3607695,"CA","96","Excel Spreadsheet Annotations",28-JUL-22,01-JUL-22,"","",""
4940,4226,"06000000128",3608301,"CA","96","Excel Spreadsheet Annotations",28-JUL-22,01-JUL-22,"","",""
3209,2834,"06008023006",2942689,"CA","96","Excel Spreadsheet Annotations",22-JUN-22,01-JUN-22,"","",""
3207,2834,"06008023011",2944164,"CA","96","Excel Spreadsheet Annotations",22-JUN-22,01-JUN-22,"","",""
3204,2834,"06008038001",1175992,"CA","96","Excel Spreadsheet Annotations",22-JUN-22,01-JUN-22,"","",""
3202,2834,"06008023005",2942682,"CA","96","Excel Spreadsheet Annotations",22-JUN-22,01-JUN-22,"","",""
3216,2834,"06008023003",2945422,"CA","96","Excel Spreadsheet Annotations",22-JUN-22,01-JUN-22,"","",""
3212,2834,"06008023001",2942642,"CA","96","Excel Spreadsheet Annotations",22-JUN-22,01-JUN-22,"","",""
3214,2834,"06008023002",2945322,"CA","96","Excel Spreadsheet Annotations",22-JUN-22,01-JUN-22,"","",""
3195,2834,"06008022002",1175977,"CA","96","Excel Spreadsheet Annotations",22-JUN-22,01-JUN-22,"","",""
3208,2833,"06008023006",2942689,"CA","20","CIP or Master Plan",01-DEC-17,01-DEC-17,"","",""
3206,2833,"06008023011",2944164,"CA","20","CIP or Master Plan",01-DEC-17,01-DEC-17,"","",""
3203,2833,"06008038001",1175992,"CA","20","CIP or Master Plan",01-DEC-17,01-DEC-17,"","",""
3201,2833,"06008023005",2942682,"CA","20","CIP or Master Plan",01-DEC-17,01-DEC-17,"","",""
3215,2833,"06008023003",2945422,"CA","20","CIP or Master Plan",01-DEC-17,01-DEC-17,"","",""
3211,2833,"06008023001",2942642,"CA","20","CIP or Master Plan",01-DEC-17,01-DEC-17,"","",""
3213,2833,"06008023002",2945322,"CA","20","CIP or Master Plan",01-DEC-17,01-DEC-17,"","",""
3194,2833,"06008022002",1175977,"CA","20","CIP or Master Plan",01-DEC-17,01-DEC-17,"","",""
3226,2860,"06000000092",3607832,"CA","20","CIP or Master Plan",01-AUG-20,01-AUG-20,"","",""
3250,2860,"06000000093",3607833,"CA","20","CIP or Master Plan",01-AUG-20,01-AUG-20,"","",""
7593,5511,"06007002001",1175909,"CA","20","CIP or Master Plan",06-JUN-22,01-JUN-22,"","",""
4973,4248,"06004032001",1175516,"CA","20","CIP or Master Plan",15-APR-20,01-APR-20,"","",""
5005,4274,"06008005001",1175949,"CA","96","Excel Spreadsheet Annotations",01-AUG-22,01-AUG-22,"","",""
6516,5041,"06005019002",3478130,"CA","20","CIP or Master Plan",03-JUN-21,01-JUN-21,"","",""
6520,5041,"06025019002",3534816,"CA","20","CIP or Master Plan",03-JUN-21,01-JUN-21,"","",""
6517,5042,"06005019002",3478130,"CA","96","Excel Spreadsheet Annotations",30-AUG-22,01-AUG-22,"","",""
6519,5042,"06025019002",3534816,"CA","96","Excel Spreadsheet Annotations",30-AUG-22,01-AUG-22,"","",""
6523,5043,"06005026001",1175548,"CA","20","CIP or Master Plan",15-JUN-22,01-JUN-22,"","",""
6521,5043,"06000000141",3608717,"CA","20","CIP or Master Plan",15-JUN-22,01-JUN-22,"","",""
6524,5044,"06005026001",1175548,"CA","96","Excel Spreadsheet Annotations",29-AUG-22,01-AUG-22,"","",""
6522,5044,"06000000141",3608717,"CA","96","Excel Spreadsheet Annotations",29-AUG-22,01-AUG-22,"","",""
6526,5045,"06000000140",3608711,"CA","20","CIP or Master Plan",01-JUL-21,01-JUL-21,"","",""
6549,5053,"06000000142",3608724,"CA","20","CIP or Master Plan",21-APR-22,01-APR-22,"","",""
6552,5053,"06009033001",1176072,"CA","20","CIP or Master Plan",21-APR-22,01-APR-22,"","",""
6550,5054,"06000000142",3608724,"CA","96","Excel Spreadsheet Annotations",30-AUG-22,01-AUG-22,"","",""
6551,5054,"06009033001",1176072,"CA","96","Excel Spreadsheet Annotations",30-AUG-22,01-AUG-22,"","",""
6222,4911,"06000000138",3608601,"CA","96","Excel Spreadsheet Annotations",23-AUG-22,01-AUG-22,"","",""
4058,3504,"06004010005",1175495,"CA","96","Excel Spreadsheet Annotations",15-JUL-22,01-JUL-22,"","",""
5596,4607,"06000000131",3608421,"CA","96","Excel Spreadsheet Annotations",10-AUG-22,01-AUG-22,"","",""
5852,4607,"06000000130",3608420,"CA","96","Excel Spreadsheet Annotations",10-AUG-22,01-AUG-22,"","",""
4821,4116,"06000000121",3608175,"CA","3","CWSRF Loan Pre-applications/Final Applications",30-AUG-19,01-AUG-19,"","",""
4823,4118,"06000000121",3608175,"CA","3","CWSRF Loan Pre-applications/Final Applications",06-JUN-22,01-JUN-22,"","",""
6744,5119,"06000000143",3608762,"CA","96","Excel Spreadsheet Annotations",02-SEP-22,01-SEP-22,"","",""
3330,3046,"06000000097",3607868,"CA","96","Excel Spreadsheet Annotations",01-JUL-22,01-JUL-22,"","",""
3328,3046,"06000000096",3607867,"CA","96","Excel Spreadsheet Annotations",01-JUL-22,01-JUL-22,"","",""
3340,3057,"06009047001",1176085,"CA","96","Excel Spreadsheet Annotations",01-JUL-22,01-JUL-22,"","",""
3341,3057,"06000000101",3607883,"CA","96","Excel Spreadsheet Annotations",01-JUL-22,01-JUL-22,"","",""
3540,3201,"06004010001",1175491,"CA","96","Excel Spreadsheet Annotations",07-JUL-22,01-JUL-22,"","",""
3548,3201,"06024000001",3500317,"CA","96","Excel Spreadsheet Annotations",07-JUL-22,01-JUL-22,"","",""
3546,3201,"06004010002",1175492,"CA","96","Excel Spreadsheet Annotations",07-JUL-22,01-JUL-22,"","",""
4087,3528,"06000000112",3608022,"CA","96","Excel Spreadsheet Annotations",11-JUL-22,01-JUL-22,"","",""
4094,3528,"06000000113",3608023,"CA","96","Excel Spreadsheet Annotations",11-JUL-22,01-JUL-22,"","",""
4103,3538,"06008010005",3486593,"CA","96","Excel Spreadsheet Annotations",18-JUL-22,01-JUL-22,"","",""
4110,3538,"06008010004",3486590,"CA","96","Excel Spreadsheet Annotations",18-JUL-22,01-JUL-22,"","",""
4101,3538,"06008010006",3486596,"CA","96","Excel Spreadsheet Annotations",18-JUL-22,01-JUL-22,"","",""
4107,3538,"06008010001",1175959,"CA","96","Excel Spreadsheet Annotations",18-JUL-22,01-JUL-22,"","",""
4778,4083,"06008010008",410633,"CA","96","Excel Spreadsheet Annotations",26-JUL-22,01-JUL-22,"","",""
4797,4097,"06000000099",3607878,"CA","20","CIP or Master Plan",16-JUN-21,01-JUN-21,"","",""
4794,4097,"06000000100",3607879,"CA","20","CIP or Master Plan",16-JUN-21,01-JUN-21,"","",""
4800,4097,"06000000098",3607877,"CA","20","CIP or Master Plan",16-JUN-21,01-JUN-21,"","",""
4796,4099,"06004001001",1175456,"CA","20","CIP or Master Plan",01-JUL-21,01-JUL-21,"","",""
4802,4101,"06008041002",1175996,"CA","96","Excel Spreadsheet Annotations",25-JUL-22,01-JUL-22,"","",""
6084,4818,"06006007001",1175860,"CA","20","CIP or Master Plan",08-JUN-21,01-JUN-21,"","",""
6094,4828,"06006020001",1175875,"CA","96","Excel Spreadsheet Annotations",18-AUG-22,01-AUG-22,"","",""
4751,4064,"06002052001",1175310,"CA","3","CWSRF Loan Pre-applications/Final Applications",21-AUG-20,01-AUG-20,"","",""
7019,5204,"06005098002",3479031,"CA","20","CIP or Master Plan",12-OCT-19,01-OCT-19,"","",""
7017,5204,"06000000133",3608440,"CA","20","CIP or Master Plan",12-OCT-19,01-OCT-19,"","",""
7029,5204,"06005098001",1175618,"CA","20","CIP or Master Plan",12-OCT-19,01-OCT-19,"","",""
8179,5810,"06002118001",1175353,"CA","20","CIP or Master Plan",04-MAY-20,01-MAY-20,"","",""
8180,5811,"06002118001",1175353,"CA","96","Excel Spreadsheet Annotations",29-SEP-22,01-SEP-22,"","",""
3414,3121,"06002082001",1175340,"CA","96","Excel Spreadsheet Annotations",05-JUL-22,01-JUL-22,"","",""
3607,3249,"06002024001",1175282,"CA","20","CIP or Master Plan",10-JUN-21,01-JUN-21,"","",""
11382,7649,"06005106001",1175638,"CA","96","Excel Spreadsheet Annotations",21-NOV-22,01-NOV-22,"","",""
10239,7023,"06000000196",3609511,"CA","60","Municipal Storm Water Management Plan",01-JUN-21,01-JUN-21,"","",""
9709,6704,"06002152001",1175364,"CA","96","Excel Spreadsheet Annotations",25-OCT-22,01-OCT-22,"","",""
13022,8423,"06002044004",1175304,"CA","96","Excel Spreadsheet Annotations",12-DEC-22,01-DEC-22,"","",""
7023,5205,"06009019002",1176051,"CA","20","CIP or Master Plan",30-JUN-22,01-JUN-22,"","",""
7451,5443,"06005177001",1175687,"CA","96","Excel Spreadsheet Annotations",15-SEP-22,01-SEP-22,"","",""
7461,5450,"06008045001",1175999,"CA","96","Excel Spreadsheet Annotations",16-SEP-22,01-SEP-22,"","",""
8246,5855,"06002043001",1175301,"CA","20","CIP or Master Plan",21-JUN-21,01-JUN-21,"","",""
9394,6521,"06000000190",3609351,"CA","96","Excel Spreadsheet Annotations",20-OCT-22,01-OCT-22,"","",""
6091,4825,"06000000137",3608581,"CA","96","Excel Spreadsheet Annotations",18-AUG-22,01-AUG-22,"","",""
3771,3353,"06004009003",1175479,"CA","20","CIP or Master Plan",19-MAY-22,01-MAY-22,"","",""
3765,3353,"06004009002",1175478,"CA","20","CIP or Master Plan",19-MAY-22,01-MAY-22,"","",""
3775,3353,"06004009008",1175484,"CA","20","CIP or Master Plan",19-MAY-22,01-MAY-22,"","",""
3768,3353,"06004009010",1175486,"CA","20","CIP or Master Plan",19-MAY-22,01-MAY-22,"","",""
3778,3353,"06004009009",1175485,"CA","20","CIP or Master Plan",19-MAY-22,01-MAY-22,"","",""
3545,3200,"06004010003",1175493,"CA","20","CIP or Master Plan",03-MAY-20,01-MAY-20,"","",""
3543,3200,"06004010004",1175494,"CA","20","CIP or Master Plan",03-MAY-20,01-MAY-20,"","",""
3541,3200,"06004010001",1175491,"CA","20","CIP or Master Plan",03-MAY-20,01-MAY-20,"","",""
3549,3200,"06024000001",3500317,"CA","20","CIP or Master Plan",03-MAY-20,01-MAY-20,"","",""
3547,3200,"06004010002",1175492,"CA","20","CIP or Master Plan",03-MAY-20,01-MAY-20,"","",""
4364,3768,"06009007001",1176038,"CA","20","CIP or Master Plan",01-MAY-14,01-MAY-14,"","","Y"
4444,3834,"06005077001",1175595,"CA","20","CIP or Master Plan",01-JAN-21,01-JAN-21,"","",""
4447,3834,"06000000119",3608134,"CA","20","CIP or Master Plan",01-JAN-21,01-JAN-21,"","",""
6308,4942,"06002012001",1175273,"CA","20","CIP or Master Plan",28-APR-22,01-APR-22,"","",""
7945,5700,"06002030001",1238810,"CA","20","CIP or Master Plan",30-JUN-20,01-JUN-20,"","",""
8025,5728,"06002015001",1175274,"CA","96","Excel Spreadsheet Annotations",27-SEP-22,01-SEP-22,"","",""
9393,6520,"06000000190",3609351,"CA","9","NEP Comprehensive Conservation and Management Plan",01-JAN-22,01-JAN-22,"","",""
10278,7048,"06009050001",1176087,"CA","96","Excel Spreadsheet Annotations",03-OCT-22,01-OCT-22,"","",""
10289,7050,"06000000194",3609471,"CA","20","CIP or Master Plan",28-JUN-22,01-JUN-22,"","",""
10283,7050,"06009005001",1176036,"CA","20","CIP or Master Plan",28-JUN-22,01-JUN-22,"","",""
11500,7713,"06005041001",1175561,"CA","20","CIP or Master Plan",19-JUL-22,01-JUL-22,"","",""
12089,8048,"06001008001",1175175,"CA","20","CIP or Master Plan",08-NOV-21,01-NOV-21,"","",""
12094,8048,"06000000211",3610284,"CA","20","CIP or Master Plan",08-NOV-21,01-NOV-21,"","",""
4844,4142,"06005053001",1175571,"CA","20","CIP or Master Plan",01-JUL-21,01-JUL-21,"","",""
4847,4142,"06000000123",3608282,"CA","20","CIP or Master Plan",01-JUL-21,01-JUL-21,"","",""
