column,type,label,description
analysis_date,timestamp,Analysis Date,"Date analytical analysis was performed, as provided by the laboratory conducting analysis."
analysis_time,text,Analysis Time,"Time analytical analysis was performed, as provided by the laboratory conducting analysis."
review_priority_indicator,text,Review Priority Indicator,Flag applied to a result by report submitter that draws attention to the result.
qa_codes,text,QA Codes,"Code applied to the result supplied by a laboratory. Options include the following:

• B - Analyte present in the blank and the sample [B]

• U - Compound was analyzed for, but was not detected [U]

• R - Data rejected [R]

• J - Estimated value [J]

• BS - Insufficient sample available to follow standard QC procedures [BS]

• GB - Matrix spike recovery not within control limits [GB]

• IM - Method does not include this analyte as part of compound list [IM]

• LN - MS and/or MSD below acceptance limits. See Blank Spike(LCS).

• LO - MS and/or MSD result unavailable. Batch accept. based on LCS rec.

• HR - Post digestion spike [HR]

• IL - RPD exceeds laboratory control limit [IL]

• BB - Sample > 4x spike concentration [BB]

• BU - Sample analyzed after holding time expired [BU]

• BU,U - Sample analyzed after holding time expired; Compound was analyzed for, but was not detected [BU,U]

• GN - Surrogate recovery is outside of control limits [GN]

• EB - Value is estimated [EB]

Before being incorporated into this controlled vocabulary list, QA Codes must be available at: http://www.edfdata.com/edfsource/validvaluelookup/LNOTE?code_op=contains&code=&name_op=contains&name="
comments,text,Comments,Notes for the result record supplied by the report submitter.
facility_name,text,Facility Name,Name of the facility being regulated for which the monitoring results are provided.
facility_place_id,text,Facility Place Identifier,Unique identifier associated with the facility record.
report_name,text,Report Name,The name of the electronic report within which the result was submitted.
latitude,numeric,Latitude,"Latitude of the monitoring location that was sampled and analyzed, producing the given results."
longitude,numeric,Longitude,"Longitude of the monitoring location that was sampled and analyzed, producing the given results."
receiving_water_body,text,Receiving Water Body,"The name of the water body that is sampled when the monitoring location type is ""receiving water."""
smr_document_id,text,SMR Document Identifier,The CIWQS unique identifier associated with the report record within which the result was submitted.
location_desc,text,Location Description,Optional field providing a narrative description of the monitoring location.
